<br><font color=yellow>*Lera(Bailey42) sat alone on a tree branch, samehada resting lazily across her legs. She had a good vantage point from up here, she could keep her eye on the skies and the ground; just in case something decided she looked a little tasty. Every now and then she'd glance down at Samehada fondly. Even though it was fully co-operative with her, she couldn't help but like it. It was surprisingly affectionate, at least as long as you continued to provide it with chakra anyway; which she did in bucket loads.

Ever so gently, she rubbed her hand down the blades edge; being careful not to catch her hands on the sharp scales. It still continued to suck away at her chakra, if it weren't for her exceptionally large pools; she would have run dry a long time ago. It was a wonder it was still going, it did stop every now and then; but surely there would come a point where it was well and truly full. Either way, until she truly mastered the weapon; using it in a real life and death battle would be risky.

With a sigh, she gripped Samehada's hilt and dropped from the tree; landing gracefully on the forest floor. The area was mostly clear, besides a few forest critters but they generally just left her alone. She wagered she'd traveled a good majority of the forest now, but had yet to come across a beast on the same level as the one Marissa had been fighting. She was starting to get the feeling that she'd gotten everything possible out of surviving here, it was more or less time to leave.

All she had to do was make her way to Fujitora's base and wait for him, though that was easier said than done. She reckoned she'd come pretty close to the base a number of times, but had always turned herself away so as to extend her stay for as long as possible. Despite that, things were starting to get very samey, she'd defeated most creatures with relative ease, a few had given her a little trouble; but she'd yet to sustain even a scratch. So with a yawn, she trailled off into the forest, towards Fujitora's base.
* - Sun Nov  1 14:47:02 2015
<br><br><font color=teal>*Lera(Bailey42) says: Who? - Sun Nov  1 18:40:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: Anyone I know? - Sun Nov  1 18:40:00 2015
<br><br><font color=teal>*Index(Jjking217) says: I won't say his name. - Sun Nov  1 18:40:00 2015
<br><br><font color=teal>*Index(Jjking217) says: But. - Sun Nov  1 18:40:00 2015
<br><br><font color=teal>*Index(Jjking217) says: He did something I can't forgive. - Sun Nov  1 18:40:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well theres a lot of that going around. - Sun Nov  1 18:40:00 2015
<br><br><font color=teal>*Index(Jjking217) says: He betrayed the girl I love, He was like her brother. - Sun Nov  1 18:40:00 2015
<br><br><font color=teal>*Index(Jjking217) says: Then he tossed her aside...Like a doll, when he got offered power. - Sun Nov  1 18:40:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: ....Let me guess. He joined Edge. - Sun Nov  1 18:40:51 2015
<br><br><font color=teal>*Index(Jjking217) says: No. - Sun Nov  1 18:40:51 2015
<br><br><font color=teal>*Lera(Bailey42) says: Or maybe he is Edge, funny thought. - Sun Nov  1 18:40:51 2015
<br><br><font color=teal>*Index(Jjking217) says: He formed his own. - Sun Nov  1 18:40:51 2015
<br><br><font color=teal>*Lera(Bailey42) says: Oh really? - Sun Nov  1 18:40:51 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see. - Sun Nov  1 18:40:51 2015
<br><br><font color=teal>*Index(Jjking217) says: Group of 'Retards'. - Sun Nov  1 18:40:51 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sun Nov  1 18:40:51 2015
<br><br><font color=teal>*Lera(Bailey42) says: Uh huh - Sun Nov  1 18:40:51 2015
<br><br><font color=teal>*Index(Jjking217) says: She told me. - Sun Nov  1 18:40:51 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well, no business of mine I guess. - Sun Nov  1 18:40:51 2015
<br><br><font color=teal>*Index(Jjking217) says: She felt like he was raping her with his gaze. - Sun Nov  1 18:40:51 2015
<br><br><font color=teal>*Index(Jjking217) says: How can...I calmly sit there...When she says something like that? - Sun Nov  1 18:41:42 2015
<br><br><font color=teal>*Index(Jjking217) says: When she cries beside me? - Sun Nov  1 18:41:42 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm scared. - Sun Nov  1 18:41:42 2015
<br><br><font color=teal>*Index(Jjking217) says: It's because I'm weak. - Sun Nov  1 18:41:42 2015
<br><br><font color=teal>*Index(Jjking217) says: I know I can't win...But I can't let this go...Without his blood. - Sun Nov  1 18:41:42 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see. - Sun Nov  1 18:42:33 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well I wish you lucl - Sun Nov  1 18:42:33 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm sorry for telling you all this. - Sun Nov  1 18:43:24 2015
<br><br><font color=teal>*Index(Jjking217) says: You probably don't care. - Sun Nov  1 18:43:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: *shrug* I'm just glad to see another human. - Sun Nov  1 18:43:24 2015
<br><br><font color=teal>*Index(Jjking217) says: I have a request.. - Sun Nov  1 18:44:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: What is it? - Sun Nov  1 18:45:07 2015
<br><br><font color=teal>*Index(Jjking217) says: If possible...If you help me. - Sun Nov  1 18:45:58 2015
<br><br><font color=teal>*Lera(Bailey42) says: To kill the man you're after? - Sun Nov  1 18:45:58 2015
<br><br><font color=teal>*Index(Jjking217) says: No..I'm not that petty. - Sun Nov  1 18:46:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: Then what? - Sun Nov  1 18:46:49 2015
<br><br><font color=teal>*Index(Jjking217) says: I will ask....If you can help me....learn something new....Grow stronger. I will give you...Five Million Yen...If you desire it. - Sun Nov  1 18:46:49 2015
<br><br><font color=teal>*Index(Jjking217) says: I need to come at him...With stuff he won't be expecting. - Sun Nov  1 18:47:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: Learn what exactly? - Sun Nov  1 18:48:32 2015
<br><br><font color=teal>*Index(Jjking217) says: Anything.. - Sun Nov  1 18:49:23 2015
<br><br><font color=teal>*Lera(Bailey42) says: I have acess to a lot of jutsu, but you can't necessarily learn them all. - Sun Nov  1 18:49:23 2015
<br><br><font color=teal>*Lera(Bailey42) says: *sigh* - Sun Nov  1 18:49:23 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well, you're a Doton user - Sun Nov  1 18:49:23 2015
<br><br><font color=teal>*Index(Jjking217) says: I've completed one of my goals. - Sun Nov  1 18:49:23 2015
<br><br><font color=teal>*Index(Jjking217) says: I've learned my Fifth Element. - Sun Nov  1 18:49:23 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see. - Sun Nov  1 18:50:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: How is your skill with each element - Sun Nov  1 18:51:05 2015
<br><br><font color=teal>*Lera(Bailey42) says: Which is your best should I say - Sun Nov  1 18:51:05 2015
<br><br><font color=teal>*Index(Jjking217) says: I don't have a best. - Sun Nov  1 18:51:05 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm equal around the board. - Sun Nov  1 18:51:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Interesting. - Sun Nov  1 18:51:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm - Sun Nov  1 18:51:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Show me your Doton techniques - Sun Nov  1 18:51:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: I want to see how good you are with it before I decide whether to teach you this or not. - Sun Nov  1 18:51:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: ....Hm... - Sun Nov  1 18:55:21 2015
<br><br><font color=teal>*Lera(Bailey42) says: Its good...but not good enough for the technique I had in mind... - Sun Nov  1 18:55:21 2015
<br><br><font color=teal>*Lera(Bailey42) says: Are those you're only three Doton techniques? - Sun Nov  1 18:55:21 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah.. - Sun Nov  1 18:56:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: Right... - Sun Nov  1 18:56:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm... - Sun Nov  1 18:56:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright...I can teach you three Doton techniques. One of them should be perfect for your current level...the other two will be difficult. - Sun Nov  1 18:57:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: One of those by the way, is a personal technique of mine - Sun Nov  1 18:57:04 2015
<br><br><font color=teal>*Index(Jjking217) says: R-Really? - Sun Nov  1 18:57:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: So far i've only allowed one other to learn it - Sun Nov  1 18:57:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: And they paid me to do so - Sun Nov  1 18:57:04 2015
<br><br><font color=teal>*Index(Jjking217) says: I.... - Sun Nov  1 18:57:04 2015
<br><br><font color=teal>*Index(Jjking217) says: I thank you.. - Sun Nov  1 18:57:55 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright. We'll start with the easiest I suppose. - Sun Nov  1 18:57:55 2015
<br><br><font color=yellow>*Lera(Bailey42) formed her handseals and channeled doton chakra into her hands. Upon slamming her palms against the ground, she sent chakra through it; forming stone spears that shot upwards around an invisible target.

"Quite a good offensive technique, difficult to dodge; especially if you're not expecting it. I can't explain how it works, but the visuals are pretty self explanatory. Give it a go."* - Sun Nov  1 18:59:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: Not bad. - Sun Nov  1 19:15:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: Now...we come to the tougher one. - Sun Nov  1 19:16:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: This one, I will expect to be paid for. - Sun Nov  1 19:16:41 2015
<br><br><font color=teal>*Index(Jjking217) says: How much..? - Sun Nov  1 19:16:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: I would normally ask for several million...would you like me to show the technique first? I'll let you decide. - Sun Nov  1 19:17:32 2015
<br><br><font color=teal>*Index(Jjking217) says: Sure. - Sun Nov  1 19:17:32 2015
<br><br><font color=teal>*Index(Jjking217) says: Actually. - Sun Nov  1 19:17:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm? - Sun Nov  1 19:17:32 2015
<br><br><font color=teal>*Index(Jjking217) says: I trust your judgement. - Sun Nov  1 19:17:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well I have to show you the technique so you have an idea of how it works first. - Sun Nov  1 19:17:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: So. Allow me to demonstrate. - Sun Nov  1 19:17:32 2015
<br><br><font color=teal>*Index(Jjking217) says: That's also true. - Sun Nov  1 19:17:32 2015
<br><br><font color=yellow>*Lera(Bailey42) wandered up to a nearby tree and clasped her hand into three fingers. With a short thrust forwards, she neatly slice through the thick trunk causing the tree to start falling. However, before it had a chance; she grabbed the trunk with one hand and began flowing her chakra through it. Then with ease that completely went against her small build, she lifted the tree above her head and balanced it on one finger.

"This is a Doton technique that goes past the basic concept of Earth, this is Doton at its very core. Would you like me to explain how it works?"* - Sun Nov  1 19:20:06 2015
<br><br><font color=teal>*Lera(Bailey42) says: THe first one is a common technique. - Sun Nov  1 19:24:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: I only ask for payment for this technique. - Sun Nov  1 19:24:22 2015
<br><br><font color=teal>*Index(Jjking217) says: Even so. - Sun Nov  1 19:24:22 2015
<br><br><font color=teal>*Index(Jjking217) says: You didn't have to teach me - Sun Nov  1 19:24:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: *Shrug* - Sun Nov  1 19:24:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: I enjoy passing techniques on - Sun Nov  1 19:24:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: Anyway, i'll explain how this works. - Sun Nov  1 19:24:22 2015
<br><br><font color=yellow>*Lera(Bailey42) crossed her legs, floating in midair. She still held the tree, so she threw that to one side and began to explain.

"This technique takes Doton an abstract concept, manipulating it at an incredibly low level. If you think about it, when it comes right down to it; Doton is mass...weight. Using your chakra, you manipulate that weight and lower it for any object you're touching. It also works in reverse, though I've yet to figure that one. Finally, as you get better you can alter the weight of the very atmosphere around you; allowing for flight."* - Sun Nov  1 19:26:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Good. - Sun Nov  1 19:45:42 2015
<br><br><font color=teal>*Lera(Bailey42) says: Keep practicing it and you'll soon be able to fly. - Sun Nov  1 19:45:42 2015
<br><br><font color=teal>*Index(Jjking217) says: Thank you Lera.. - Sun Nov  1 19:45:42 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm. - Sun Nov  1 19:45:42 2015
<br><br><font color=teal>*Index(Jjking217) says: I owe you so much for my progression. - Sun Nov  1 19:45:42 2015
<br><br><font color=teal>*Lera(Bailey42) says: *shrug* its no matter. - Sun Nov  1 19:46:33 2015
<br><br><font color=yellow>*Lera(Bailey42) shook her head and took the original offer, which was five million.

"That will cover the technique."* - Sun Nov  1 19:47:24 2015
<br><br><font color=teal>*Index(Jjking217) says: I insist. - Sun Nov  1 19:47:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sun Nov  1 19:47:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well, if you say so. - Sun Nov  1 19:47:24 2015
<br><br><font color=teal>*Index(Jjking217) says: I'd like to think of you as a friend. - Sun Nov  1 19:47:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm...well, There are likely other techniques I can teach you. - Sun Nov  1 19:47:24 2015
<br><br><font color=teal>*Index(Jjking217) says: ---And really? - Sun Nov  1 19:48:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: ....Perhaps the Shadow clone technique - Sun Nov  1 19:48:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: Interested? - Sun Nov  1 19:48:16 2015
<br><br><font color=teal>*Index(Jjking217) says: I already know it---Honestly That technique is like Shunshin no Jutsu. - Sun Nov  1 19:48:16 2015
<br><br><font color=teal>*Index(Jjking217) says: In Sunagakure. - Sun Nov  1 19:49:07 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see. - Sun Nov  1 19:49:07 2015
<br><br><font color=teal>*Index(Jjking217) says: You'd think it'd be less popular.. - Sun Nov  1 19:49:07 2015
<br><br><font color=teal>*Lera(Bailey42) says: You would think so. - Sun Nov  1 19:49:07 2015
<br><br><font color=teal>*Index(Jjking217) says: It's such an amazing technique. - Sun Nov  1 19:49:07 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you know any....Water or Wind techniques? - Sun Nov  1 19:50:49 2015
<br><br><font color=teal>*Index(Jjking217) says: Even Fire? - Sun Nov  1 19:50:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: All three yes - Sun Nov  1 19:50:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: I have knowledge of all the elements - Sun Nov  1 19:50:49 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll pay for those as well...If you desire. - Sun Nov  1 19:52:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Nah, They're common techniques. - Sun Nov  1 19:52:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Most of them anyway, there are some techniques I can never teach to anyone. - Sun Nov  1 19:52:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Also, you may well have the Suiton techniques I have. I'm rather new to that element. - Sun Nov  1 19:54:14 2015
<br><br><font color=teal>*Index(Jjking217) says: I only know. - Sun Nov  1 19:55:05 2015
<br><br><font color=teal>*Index(Jjking217) says: Water Gun and Water Shockwave. - Sun Nov  1 19:55:05 2015
<br><br><font color=teal>*Lera(Bailey42) says: Exploding water shockwave? - Sun Nov  1 19:55:56 2015
<br><br><font color=teal>*Index(Jjking217) says: Nope.. - Sun Nov  1 19:57:39 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm... - Sun Nov  1 19:58:30 2015
<br><br><font color=teal>*Index(Jjking217) says: Actually... - Sun Nov  1 19:58:30 2015
<br><br><font color=teal>*Index(Jjking217) says: Would you be against, me waiting a few days? - Sun Nov  1 19:58:30 2015
<br><br><font color=teal>*Lera(Bailey42) says: No. - Sun Nov  1 19:58:30 2015
<br><br><font color=teal>*Index(Jjking217) says: I'd rather not learn everything at once. - Sun Nov  1 19:58:30 2015
<br><br><font color=teal>*Lera(Bailey42) says: I intend to leave the labyrinth soon. - Sun Nov  1 19:59:21 2015
<br><br><font color=teal>*Index(Jjking217) says: You're aKirigakure resident? - Sun Nov  1 19:59:21 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yes. - Sun Nov  1 19:59:21 2015
<br><br><font color=teal>*Index(Jjking217) says: Then I'l visit you there. - Sun Nov  1 20:00:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: mhm. - Sun Nov  1 20:00:12 2015
<br><br><font color=teal>*Index(Jjking217) says: Assuming Kirie doesn't try to lob off my head. - Sun Nov  1 20:00:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: Why would she? - Sun Nov  1 20:00:12 2015
<br><br><font color=teal>*Index(Jjking217) says: I intend to retire from the traditional Shinobi forc.e - Sun Nov  1 20:00:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see. - Sun Nov  1 20:00:12 2015
<br><br><font color=teal>*Index(Jjking217) says: And I'm the Village's only Sergeant. - Sun Nov  1 20:00:12 2015
<br><br><font color=teal>*Index(Jjking217) says: I have to run for a bit. - Sun Nov  1 20:01:04 2015
<br><br><font color=teal>*Index(Jjking217) says: But I enjoyed our time. - Sun Nov  1 20:01:04 2015
<br><br><font color=teal>*Index(Jjking217) says: I hate to just 'dine' and dash. - Sun Nov  1 20:01:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: Right. - Sun Nov  1 20:01:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: Good lucl - Sun Nov  1 20:01:04 2015
<br><br><font color=teal>*Index(Jjking217) says: See you soon Lera. - Sun Nov  1 20:01:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm, you too, - Sun Nov  1 20:01:04 2015
<br><br><font color=yellow>*Lera(Bailey42) left the forest and hailed a boat, she'd spent more than long enough training in the labyrinth for now.* - Mon Nov  2 20:45:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Well can I at least get your name? - Mon Nov  2 20:57:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *takes notice of the felame standing beside Bry*  Hey, I haven't seen you here before. - Mon Nov  2 21:02:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hello - Mon Nov  2 21:02:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: This guy. . . .  - Mon Nov  2 21:02:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hey name is Hiroshi nice to meet you. - Mon Nov  2 21:03:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: Lera, same to you - Mon Nov  2 21:04:38 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Lera. . . Where have I heard that name? - Mon Nov  2 21:04:38 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Oooo yea. - Mon Nov  2 21:04:38 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: So you are Lera?  Trill told me about you. - Mon Nov  2 21:04:38 2015
<br><br><font color=teal>*Lera(Bailey42) says: Did he? - Mon Nov  2 21:04:38 2015
<br><br><font color=teal>*Lera(Bailey42) says: And what did he say? - Mon Nov  2 21:05:29 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yup I think he said you were his aunt? - Mon Nov  2 21:05:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yes....big family. - Mon Nov  2 21:05:29 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  Sounds fun. - Mon Nov  2 21:05:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sometimes. - Mon Nov  2 21:05:29 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But, that was all he said before he started talkng about h- *clears throat* Ohhh Trill there you are. - Mon Nov  2 21:06:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Mon Nov  2 21:06:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sure. Good for you. - Mon Nov  2 21:07:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Trill when does class start? - Mon Nov  2 21:07:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Like ummmm. - Mon Nov  2 21:08:03 2015
<br><br><font color=teal>*Lera(Bailey42) says: Trillian - Mon Nov  2 21:09:45 2015
<br><br><font color=teal>*Lera(Bailey42) says: Where is my father? - Mon Nov  2 21:10:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yo'. - Mon Nov  2 21:10:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Howdy. - Mon Nov  2 21:10:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Umm check his office thats the last place I seen him. - Mon Nov  2 21:11:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He's in there. - Mon Nov  2 21:11:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Right. - Mon Nov  2 21:11:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'll go look for him then - Mon Nov  2 21:11:28 2015
<br><br><font color=yellow>*Lera(Bailey42) LE KNOCK ON LE DOOR.* - Mon Nov  2 21:12:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nice to meet you Yan I am Hiroshi, how was your vacation? - Mon Nov  2 21:14:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Pleasant but I miss this village and I'm ready to get back to work. - Mon Nov  2 21:14:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hey Trilliam! - Mon Nov  2 21:14:01 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: pssst Father, can I speak to you for a moment? I don't have long - Tue Nov  3 04:37:45 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Yeah. - Tue Nov  3 04:37:45 2015
<br><br><font color=teal>*Lera(Bailey42) says: Did you get the blades? - Tue Nov  3 04:37:45 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Yeah. - Tue Nov  3 04:37:45 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Yan is back. - Tue Nov  3 04:37:45 2015
<br><br><font color=teal>*Lera(Bailey42) says: May I take them please? - Tue Nov  3 04:37:45 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Anything else? - Tue Nov  3 04:38:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Nope. - Tue Nov  3 04:39:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Thanks dad - Tue Nov  3 04:39:28 2015
<br><br><font color=yellow>*Lera(Bailey42) takes them.* - Tue Nov  3 04:39:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Stay safe - Tue Nov  3 04:39:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'll head back then, see you later. - Tue Nov  3 04:41:10 2015
<br><br><font color=yellow>*Lera(Bailey42) gave him a light tap on the shoulder with her fist and ran off towards the caravan place.* - Tue Nov  3 04:42:01 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: .... - Tue Nov  3 04:42:52 2015
