<br><font color=teal>*Lera(Bailey42) says: I love you too...always. - Sat Oct  3 12:53:07 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yeah. - Sat Oct  3 14:29:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I realised that, I haven't kissed you in a while. - Sat Oct  3 14:29:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Nor hugged you, and asked you how your day was. - Sat Oct  3 14:29:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I wanted to apologize for neglecting you so much lately. - Sat Oct  3 14:29:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: No its okay...I know you get busy. - Sat Oct  3 14:30:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: No it's not okay. - Sat Oct  3 14:31:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm all yours today. - Sat Oct  3 14:31:15 2015
<br><br><font color=yellow>*Lera(Bailey42) closed her eyes and just held him close, enjoying the closeness more than anything.

"I'm just happy to have these moments, You're the only thing I need..."* - Sat Oct  3 14:32:57 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hey, think you'd want a nice foot massage Lera~? - Sat Oct  3 14:39:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: A foot massage...? mhmmm...Maybe... - Sat Oct  3 14:44:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Mm, I'm yours today~ Anything you want I'll do. - Sat Oct  3 14:45:45 2015
<br><br><font color=teal>*Lera(Bailey42) says: A foot massage does sound good... - Sat Oct  3 14:46:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Shall we head home then~? - Sat Oct  3 14:47:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright~ - Sat Oct  3 14:49:10 2015
<br><br><font color=yellow>*Lera(Bailey42) decided to go for a change, putting her arms around Seisuke and lifting him off the ground. Seisuke would suddenly feel...lighter, as if he weighed barely a tenth of what he was supposed to.* - Sat Oct  3 14:49:10 2015
<br><br><font color=teal>*Lera(Bailey42) says: Nope~ - Sat Oct  3 14:52:35 2015
<br><br><font color=yellow>*Lera(Bailey42) sat on the bed and took off her shoes, wriggling her toes with a happy sigh. She would have liked to wash first, but when it came to Seisuke she was pretty comfortable now.* - Sat Oct  3 14:53:26 2015
<br><br><font color=yellow>*Lera(Bailey42) let out a light gasp and sank back into the bed, it was hard to notice the tension in her muscles until he started to massage it out. To say it felt good was an understatement.

"Ahhh....Thats so good..."* - Sat Oct  3 14:59:24 2015
<br><br><font color=yellow>*Lera(Bailey42) certainly felt like a princess right now, even if she didn't really care for the titles; she was definitely a lover of luxurious life. This was just one of the many benefits of dating a prince. Though in reality, she wasn't so shallow that she cared about any of that. As long as she was with Seisuke, everything else was fine.

"You're getting so good at this..."* - Sat Oct  3 15:05:23 2015
<br><br><font color=yellow>*Lera(Bailey42) giggled a little bit, taking on a joking tone in her voice "You definitely have your uses~"* - Sat Oct  3 15:11:21 2015
<br><br><font color=yellow>*Lera(Bailey42) grinned up at him and reached to pull him onto the bed with her, she just wanted to hold onto him for a bit.* - Sat Oct  3 15:17:20 2015
<br><br><font color=yellow>*Lera(Bailey42) returned the kiss, pulling herself in closer. Once finished, she nestled right under his chin a perfect fit for his height.* - Sat Oct  3 15:19:02 2015
<br><br><font color=teal>*Lera(Bailey42) says: I wish we could do this all the time. - Sat Oct  3 15:22:27 2015
<br><br><font color=teal>*Lera(Bailey42) says: Heh...but if we retired we'd probably get bored huh - Sat Oct  3 15:22:27 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Mm, I'd like that. - Sat Oct  3 15:22:27 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But I agree, we would probably get boring. - Sat Oct  3 15:25:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But it'd be a good bored, cause I'm with you - Sat Oct  3 15:25:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hehe, Yeah. I know exactly what you mean. - Sat Oct  3 15:25:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I love you Lera. - Sat Oct  3 15:30:08 2015
<br><br><font color=teal>*Lera(Bailey42) says: I love you too - Sat Oct  3 15:31:50 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Is there anything you desired to do today? - Sat Oct  3 15:32:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hmmm...I'd prefer to just sit here with you... - Sat Oct  3 15:35:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: Though...I still haven't seen any other villages. - Sat Oct  3 15:35:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: The only remotely safe Village Is Sunagakure. - Sat Oct  3 15:37:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yeah.... - Sat Oct  3 15:37:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: No-wheres safe lately. - Sat Oct  3 15:37:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That is a bit saddening. - Sat Oct  3 15:38:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yeah...everyone seems to be going to Sunagakure now as well. - Sat Oct  3 15:39:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm not sure why. - Sat Oct  3 15:39:31 2015
<br><br><font color=teal>*Lera(Bailey42) says: *shrug* - Sat Oct  3 15:40:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: I don't know either. - Sat Oct  3 15:40:22 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Maybe it's because Muhhamed-san is so popular. Haha. - Sat Oct  3 15:40:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: Probably~ - Sat Oct  3 15:41:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you want to go to Sunagakure I won't stop you, I'll take you. - Sat Oct  3 15:46:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm... - Sat Oct  3 15:50:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm allowed to go? - Sat Oct  3 15:51:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I don't think Muhhamed-san wants you there yet. - Sat Oct  3 15:51:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hnnn... - Sat Oct  3 15:54:01 2015
<br><br><font color=teal>*Lera(Bailey42) says: I hate sitting around doing nothing.. - Sat Oct  3 15:54:01 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I agree. - Sat Oct  3 16:01:42 2015
<br><br><font color=teal>*Lera(Bailey42) says: *sigh* - Sat Oct  3 16:05:07 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well then. - Sat Oct  3 16:17:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Shall we go elsewhere? - Sat Oct  3 16:17:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm, sure. Where we headed? - Sat Oct  3 16:17:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: To hell of course~. - Sat Oct  3 16:17:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: -omit- - Sat Oct  3 16:17:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Why not go see the land your father has built? - Sat Oct  3 16:17:55 2015
<br><br><font color=teal>*Lera(Bailey42) says: But...I thought you said he didn't want me there yet. - Sat Oct  3 16:19:37 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well. - Sat Oct  3 16:19:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: I want to of course.. but still. - Sat Oct  3 16:19:37 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I mean you said it yourself. - Sat Oct  3 16:19:37 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Everyone is defecting there.. - Sat Oct  3 16:19:37 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Wouldn't that make Sunagakure safer for you than Kirigakure? - Sat Oct  3 16:20:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Probably. - Sat Oct  3 16:21:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Do you wish to go? Or stay~? - Sat Oct  3 16:23:53 2015
<br><br><font color=teal>*Lera(Bailey42) says: I want to go. - Sat Oct  3 16:24:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Then let's go~ - Sat Oct  3 16:25:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright~ - Sat Oct  3 16:26:27 2015
<br><br><font color=yellow>*Lera(Bailey42) raised an eyebrow and climbed onto his back, she didn't grip too tightly; using this chance to practice her new technique. Right now she would be feeling literally lighter than a feather to Seisuke.* - Sat Oct  3 16:29:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: hehehehe - Sat Oct  3 16:35:50 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Maybe I should mess with him a bit. - Sat Oct  3 16:35:50 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Best way to travel right~? - Sat Oct  3 16:36:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm~ - Sat Oct  3 16:36:41 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Did you know Muhhamed made me a Sunagakure- Jounin? - Sat Oct  3 16:40:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm, I think you told me. - Sat Oct  3 16:42:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Actually both Fujitora's wife and daughter are in my squad. - Sat Oct  3 16:43:31 2015
<br><br><font color=teal>*Lera(Bailey42) says: Fuji? - Sat Oct  3 16:45:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: Huh - Sat Oct  3 16:45:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hmmm. - Sat Oct  3 16:45:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: I...really do want to go now. - Sat Oct  3 16:45:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: I feel like I won't get any stronger sitting here in kirigakure. - Sat Oct  3 16:45:13 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I don't know. - Sat Oct  3 16:46:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: We can talk to Muhhamed together. - Sat Oct  3 16:47:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright - Sat Oct  3 16:48:38 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yo. - Sat Oct  3 16:52:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hello, Kirie. - Sat Oct  3 16:52:03 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: How are you feeling? - Sat Oct  3 16:52:03 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Getting better? - Sat Oct  3 16:52:03 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Sat Oct  3 16:52:54 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Blue..? - Sat Oct  3 16:53:45 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Thats good. - Sat Oct  3 16:53:45 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I can see you are looking better aswell.  - Sat Oct  3 16:53:45 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Oi. - Sat Oct  3 16:54:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Umm? - Sat Oct  3 16:54:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hrm. - Sat Oct  3 16:54:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What is your name? - Sat Oct  3 16:54:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ..Zenaki.. Why? - Sat Oct  3 16:54:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I wanted to ask you something. - Sat Oct  3 16:55:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Uh.. Sure. - Sat Oct  3 16:55:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: What's it? - Sat Oct  3 16:55:28 2015
<br><br><font color=teal>*Durn(Vysasi) says: Good. - Sat Oct  3 16:58:01 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I see a few people I recognise.. - Sat Oct  3 16:58:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Ah really? - Sat Oct  3 16:58:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: That's good. - Sat Oct  3 16:58:52 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hm, fine. - Sat Oct  3 16:59:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well then. - Sat Oct  3 17:00:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Muhhamed-san isn't awake. - Sat Oct  3 17:00:35 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: So? - Sat Oct  3 17:01:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I had to speak with him is all. - Sat Oct  3 17:01:26 2015
<br><br><font color=teal>*Lera(Bailey42) says: *sigh* - Sat Oct  3 17:01:26 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sensei is always dozing off somewhere... - Sat Oct  3 17:01:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Seems like someone desires to speak with me. - Sat Oct  3 17:03:08 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Huh. - Sat Oct  3 17:04:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I'll be back in five minutes, Love. - Sat Oct  3 17:04:00 2015
<br><br><font color=teal>*Durn(Vysasi) says: Taiga, We should go spar. - Sat Oct  3 17:04:00 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Alright. - Sat Oct  3 17:04:00 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hm, well sure. - Sat Oct  3 17:04:51 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Lead the way. - Sat Oct  3 17:05:42 2015
<br><br><font color=teal>*Durn(Vysasi) says: Mhm. - Sat Oct  3 17:05:42 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Sat Oct  3 17:14:14 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Might look at the blood stuff in the hospital and fill it... Ask everyone a bit of their blood for.. Hmm.. Yea that might work.  - Sat Oct  3 17:15:05 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Sat Oct  3 17:21:55 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Sat Oct  3 17:21:55 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Scared for needles. - Sat Oct  3 17:21:55 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: How much blood are we talking about here? - Sat Oct  3 17:22:46 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Not much.  - Sat Oct  3 17:22:46 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: For now it's only a bit. To test what bloodtype you have and such.  - Sat Oct  3 17:22:46 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I will make pizza for the one who wants to help? - Sat Oct  3 17:22:46 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Eh sure why not. - Sat Oct  3 17:24:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I have nothing else to do - Sat Oct  3 17:24:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Pizza.... - Sat Oct  3 17:25:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. Pizza. - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: Is your pizza good...? - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Ask her. - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: Is it...? - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It was good. - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: ..... - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: *gulp* - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Although there are no pigs in the desert... - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: *nod* - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: Seisuke. I'll uh...be wherever the pizza is. - Sat Oct  3 17:26:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Have fun. - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Actually. - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Lera(Bailey42) says: I will~ - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Why don't all of you check out. - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Lera(Bailey42) says: hm? - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A spa or something? - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hrm. - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Because pizza - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It'll be good for you girls to get to know eachother right? - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Make a few friends. - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Lera(Bailey42) says: Pizza is....really good. - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Pizza is life.  - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --- - Sat Oct  3 17:27:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Pizza is love - Sat Oct  3 17:27:53 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Have girls always liked pizza this much? - Sat Oct  3 17:27:53 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Master is also life.  - Sat Oct  3 17:27:53 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: *nods* - Sat Oct  3 17:27:53 2015
<br><br><font color=teal>*Lera(Bailey42) says: Food is great. - Sat Oct  3 17:27:53 2015
<br><br><font color=teal>*Lera(Bailey42) says: Pizza is just....greater. - Sat Oct  3 17:27:53 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Pizza is the best when you are really hungry. Especially once in the four weeks. - Sat Oct  3 17:28:44 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: *nods* - Sat Oct  3 17:28:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'll eat pizza any day. - Sat Oct  3 17:29:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: i hope you can make enough... - Sat Oct  3 17:29:36 2015
<br><br><font color=yellow>*Lera(Bailey42) took a seat on the chair and pulled up her sleeve, stretching out the arm so Zenaki could get at the veins.

"So...what kind of pizza?"* - Sat Oct  3 17:33:00 2015
<br><br><font color=yellow>*Lera(Bailey42) winces a little when the blood is taken, but focuses on the thought of getting pizza.

"Mhmmmm...that sounds good. Can you make it really big?"

(Chakra gene, genius trait, Wind, Fire, earth and Raiton ele's And Dust release)* - Sat Oct  3 17:43:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: Lera. - Sat Oct  3 17:50:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Kirie. - Sat Oct  3 17:50:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: And make it extra large...like...two...no three pizza's worth. - Sat Oct  3 17:50:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: *writes it down* Righty. I will make it. If tou have a moment then. Hm~ - Sat Oct  3 17:50:56 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: And youKirie?  - Sat Oct  3 17:50:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It doesn't matter. - Sat Oct  3 17:51:47 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I am not a big eater. - Sat Oct  3 17:51:47 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Thanks - Sat Oct  3 18:00:19 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmmhm. Your welcome. - Sat Oct  3 18:01:10 2015
<br><br><font color=yellow>*Lera(Bailey42) immediately went for the pizza, practically stuffing it down her throat slice by slice. She was certainly a fast eater, yet oddly graceful; not a single crumb was spilt.

"This is awesome!"* - Sat Oct  3 18:01:10 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Hummm~ Looks like more people like it as long as they don't know it~ - Sat Oct  3 18:02:01 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm~ I love food. - Sat Oct  3 18:02:01 2015
<br><br><font color=teal>*Lera(Bailey42) says: This should keep me going for maybe...two or three hours~ - Sat Oct  3 18:02:01 2015
<br><br><font color=teal>*Lera(Bailey42) says: Thanks~ - Sat Oct  3 18:02:01 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I can make you more when you need it. - Sat Oct  3 18:02:01 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmmm. - Sat Oct  3 18:03:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So what to do now? - Sat Oct  3 18:04:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: The pizza is still hot. - Sat Oct  3 18:04:35 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You got to recatch you strength a bit. You can eat it. - Sat Oct  3 18:04:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Sat Oct  3 18:05:26 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I'll just wait for it to cool down a bit. - Sat Oct  3 18:05:26 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Be carefull with training now. - Sat Oct  3 18:08:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: Training huh. - Sat Oct  3 18:08:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: So. - Sat Oct  3 18:08:00 2015
