<br><font color=teal>*Byakuren(Guujin) thinks: Probably. . . - Fri Dec  4 05:46:27 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yes...? - Sat Dec  5 00:37:07 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Weird.. why is she here? Hmm..  - Sat Dec  5 00:37:07 2015
<br><br><font color=teal>*Rias(LionHunter) says: Are you checking on it? - Sat Dec  5 00:37:07 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Hmm... - Sat Dec  5 00:37:07 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: YOU COULD SAY SO! - Sat Dec  5 00:37:07 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I'M ON IT! - Sat Dec  5 00:37:07 2015
<br><br><font color=teal>*Rias(LionHunter) says: ... - Sat Dec  5 00:37:58 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: w-wahh - Sat Dec  5 00:37:58 2015
<br><br><font color=teal>*Rias(LionHunter) says: Well its fine... - Sat Dec  5 00:37:58 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Maybe a little to happy... - Sat Dec  5 00:37:58 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) scratched the side of his helmet, "Sorry if that came out.. wrong. I'm excited!!!! Hahaha." the armored individual's voice was distorted but there was joy present in his voice, and leaking out of his entire figure.* - Sat Dec  5 00:39:40 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: a-about? - Sat Dec  5 00:41:23 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yes it is a rather special moment I would say~ - Sat Dec  5 00:42:14 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: mm? - Sat Dec  5 00:42:14 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Yeah! - Sat Dec  5 00:43:56 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: But.. I'm going to.. umm.. Check on the village! - Sat Dec  5 00:44:48 2015
<br><br><font color=teal>*Rias(LionHunter) says: Oh ok, well you do that,,, thank you for checking on it - Sat Dec  5 00:44:48 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: *nod* - Sat Dec  5 00:45:39 2015
<br><br><font color=teal>*Rias(LionHunter) says: Now I have some business with Paine.. right hun? - Sat Dec  5 00:49:04 2015
<br><br><font color=teal>*Rias(LionHunter) says: Ok to my house - Sat Dec  5 00:52:28 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Hmm?.. - Sat Dec  5 00:54:11 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Danger?... - Sat Dec  5 00:54:11 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Huh? - Sat Dec  5 00:54:11 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: HELLO! - Sat Dec  5 00:54:11 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: HOW ARE YOU TODAY?! - Sat Dec  5 00:54:11 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Good.......... - Sat Dec  5 00:54:11 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: That's great news! - Sat Dec  5 00:55:02 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: At least.. he isn't a threat.. I hate fighting. - Sat Dec  5 00:55:02 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Thanks for asking? - Sat Dec  5 00:55:02 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Yup Yup! - Sat Dec  5 00:55:53 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: You shinobi are a tesne bunch. - Sat Dec  5 00:55:53 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Are you sure? - Sat Dec  5 00:55:53 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You seem to be way tense then I am right now..... - Sat Dec  5 00:56:44 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: No?.. Not at all. I'm just.. happy! - Sat Dec  5 00:56:44 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Excited maybe! - Sat Dec  5 00:57:36 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Then whats with all the..... - Sat Dec  5 01:03:34 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Armor? - Sat Dec  5 01:03:34 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Hmm? To protect me silly! - Sat Dec  5 01:03:34 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: From what? - Sat Dec  5 01:04:25 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: I stand here without any armor and I feel safe. - Sat Dec  5 01:04:25 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I've been attacked in the past. - Sat Dec  5 01:06:08 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Nearly lost my life!!! - Sat Dec  5 01:06:59 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: So.. I rather feel protected. - Sat Dec  5 01:06:59 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Incase that were to happen. - Sat Dec  5 01:06:59 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: I guess.... - Sat Dec  5 01:06:59 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: YUP! - Sat Dec  5 01:07:50 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: But full on heavy armor does seem a bit extreme... - Sat Dec  5 01:07:50 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Yes.. but if it'll protect me. Its worth it. - Sat Dec  5 01:07:50 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Speaking of which... - Sat Dec  5 01:07:50 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Who are you?! - Sat Dec  5 01:07:50 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Me? - Sat Dec  5 01:08:41 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: *looks around* Yes you! - Sat Dec  5 01:08:41 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Mitarashi. - Sat Dec  5 01:08:41 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: And you are? - Sat Dec  5 01:08:41 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Sadly.. I lack a name. - Sat Dec  5 01:12:06 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: But its an honor meeting you, Mitarashi. - Sat Dec  5 01:12:06 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Or you could say. - Sat Dec  5 01:12:06 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I forgot it? - Sat Dec  5 01:12:06 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Or did I ever have one?.. - Sat Dec  5 01:12:06 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Ehh.. but that's another story, ahaha. - Sat Dec  5 01:12:06 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: So you don't even remember you're own name? - Sat Dec  5 01:12:57 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: No... - Sat Dec  5 01:14:40 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You didn't even bother to give you're self a new one either? - Sat Dec  5 01:15:31 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Nope. Are names that important? - Sat Dec  5 01:16:22 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You asked for mine, so why don't you tell me? - Sat Dec  5 01:16:22 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Even if I did figure out a name.. I'm not sure if i'd lighten up or relate to a new name?.. - Sat Dec  5 01:17:13 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Tell you what?.. - Sat Dec  5 01:17:13 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: What? - Sat Dec  5 01:18:04 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Ehh.. nevermind. - Sat Dec  5 01:24:03 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Are you apart of this village? - Sat Dec  5 01:24:54 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Not at all. - Sat Dec  5 01:24:54 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Oh. - Sat Dec  5 01:24:54 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Just visiting I guess? - Sat Dec  5 01:24:54 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Mhm. - Sat Dec  5 01:25:45 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Either way, if you are. I welcome you! - Sat Dec  5 01:28:19 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: And.. I guess i'll be on my way. - Sat Dec  5 01:29:10 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Alright..... - Sat Dec  5 01:30:01 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: See ya later..... - Sat Dec  5 01:30:01 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: It was nice meeting you! - Sat Dec  5 01:30:01 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Same. - Sat Dec  5 01:30:01 2015
<br><br><font color=teal>*Termine, Grover(Bosshoggoutlaw) says: Thats what i came to tell you. - Tue Dec  8 05:37:55 2015
<br><br><font color=teal>*Termine, Grover(Bosshoggoutlaw) says: His head was in my mailbox. - Tue Dec  8 05:38:46 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) <Blackscreens> Tetsumi was outie!* - Tue Dec  8 05:51:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Dec  8 05:59:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Tue Dec  8 06:06:04 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: *kicks in its face* "Stop bitching fuuu!!!" -omit- - Tue Dec  8 06:06:56 2015
<br><br><font color=teal>*Jiki, Hayate(Assassin241) says: *has brain damage* - Tue Dec  8 06:06:56 2015
<br><br><font color=teal>*Jiki, Hayate(Assassin241) says: omit - Tue Dec  8 06:07:47 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) gave Rias a thumbs up, symbolizing that she had this and poofed away leaving nothing but a plume of white smoke. The jolly armored individual was outie!* - Tue Dec  8 06:10:20 2015
<br><br><font color=teal>***Hokage**(LionHunter) thinks: Seriously? - Tue Dec  8 06:11:12 2015
<br><br><font color=teal>***Hokage**(LionHunter) thinks: Now I have to take him - Tue Dec  8 06:11:12 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Father would be proud! Good parenting. Ahhh... - Tue Dec  8 06:11:12 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Rias? - Tue Dec  8 06:15:28 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Hmm? - Tue Dec  8 06:17:10 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Ah, so it is you. I'm surprise that you've become Hokage. - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Yes Im trying to do something good for this village - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Lady Hokage.. - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That child.. - Tue Dec  8 06:19:44 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Yes? - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Is it yours? - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Yes - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I didn't expect you to be a mother. - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'll have to take note of that. - Tue Dec  8 06:20:35 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Well im full of suprises just like you Osuda~ - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: A newly born child. Starting them on the path to righteousness should come early. I'll have to be sure to train them.. - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Am..I full of surprises? - Tue Dec  8 06:22:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Have I been compromised? This whore actually found out about me? Impossible.. - Tue Dec  8 06:23:08 2015
<br><br><font color=teal>*Kai(Ultimate_Odyssey) says: Mm...I-I will just...go home... - Tue Dec  8 06:23:08 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Yes but more on that later... I have a meeting... Dont do anthing rash ok? - Tue Dec  8 06:23:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Of course not. - Tue Dec  8 06:23:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No..no.. - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Hrm? - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Have a great trip.~ - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah..? - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Miss Hokage is going on a trip..? - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If she is on leave, I assume she'll be taking a break to care for her child. - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yo. - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Are you coming? - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: *nod* - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Oh... hello there - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hiya. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: I will see you in a bit - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) whispers: While we're there.... The baby's identity... won't be shared. Father, nothing. - Tue Dec  8 06:30:49 2015
<br><br><font color=teal>*Takuma(Brosis55) says: --- - Tue Dec  8 06:31:40 2015
<br><br><font color=teal>***Hokage**(LionHunter) whispers: Understood - Tue Dec  8 06:31:40 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) whispers: Its for his own safety. - Tue Dec  8 06:31:40 2015
<br><br><font color=teal>***Hokage**(LionHunter) whispers: I understand - Tue Dec  8 06:31:40 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) whispers: Good.. Then let's go. - Tue Dec  8 06:31:40 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . .  - Tue Dec  8 06:31:40 2015
<br><br><font color=teal>***Hokage**(LionHunter) whispers: Ok your just my body guard - Tue Dec  8 06:32:32 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) whispers: Yes... - Tue Dec  8 06:32:32 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) kept his gaze on his son, behind of his helmet he'd smile a little. Though, he was surprisingly over protective of the child, even if he didn't show it. For instance, the baby had a minature umbrella over its head, protecting its head from direct heat of the dessert.* - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Now... The act begins. - Tue Dec  8 06:35:56 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi, Koji. - Tue Dec  8 06:39:21 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hey! - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: S-Sanoke-san. - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What up? - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: H-Hi. - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You're fat as hell. - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Tch. - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: All that training for nothing?? - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I'm not fat! - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Just to let yourself go?! - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: U-Um. - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: --Oh. - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Momura-chan's pregnant. - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hows it going Tor-tata. - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wait. You're pregnant. - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yepp. - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Kinda figured. - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: She's pregnant?.. Time has passed... - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Been dead too long.. - Tue Dec  8 06:41:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh, hi. - Tue Dec  8 06:41:55 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Let'sw head to the manor, Rias. - Tue Dec  8 06:41:55 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Rias. - Tue Dec  8 06:41:55 2015
<br><br><font color=teal>*Rias(LionHunter) says: Ok... - Tue Dec  8 06:41:55 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Baby ohhh let me see it. - Tue Dec  8 06:41:55 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Alright. Come along. - Tue Dec  8 06:42:46 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yes hi Trill - Tue Dec  8 06:42:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mirai, you want to come too? - Tue Dec  8 06:42:46 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: If he blows up the child, I'm killing him first. - Tue Dec  8 06:42:46 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) thinks: Is it gramps baby - Tue Dec  8 06:42:46 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Mhm. - Tue Dec  8 06:42:46 2015
<br><br><font color=teal>*Rias(LionHunter) says: Later... I have business - Tue Dec  8 06:42:46 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Braabaa? - Tue Dec  8 06:43:37 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? Right. So what's up with Kumo saying Konoha has their back in their defection? - Tue Dec  8 06:44:28 2015
<br><br><font color=teal>*Rias(LionHunter) says: I head that too and I wuld like to kow the same thing - Tue Dec  8 06:44:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Well, it's likely them running their mouth. - Tue Dec  8 06:44:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: In any case. We'll do a public announcement from both villages. Understood? But what's your take first, before I continue. - Tue Dec  8 06:45:20 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) thinks: The Hidden Cloud Village has messed up for the last time. Father and the leaf village shall crush them. - Tue Dec  8 06:45:20 2015
<br><br><font color=teal>*Rias(LionHunter) says: I have -never- even met that man before... why is he saying  I am a ally? - Tue Dec  8 06:46:11 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) thinks: I mean. googoo gagaa. - Tue Dec  8 06:46:11 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) thinks: What can farmers do to us anyway. - Tue Dec  8 06:46:11 2015
<br><br><font color=teal>*Rias(LionHunter) says: I think they should sit still and be quiet Hassan was helping them and they would dare defy him? - Tue Dec  8 06:47:53 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) //Armored individual kept to himself, his eyes going to each person within the room prior and while the door was shut and locked."Oh Gee... I hope this doesn't get.. messy..." the jolly guy thought while twidling his fingers nervously.* - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Alright then. Hah, this makes for a short meeting. - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Let's make a public announcement. - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Rias(LionHunter) says: Agreed - Tue Dec  8 06:48:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Also -- Oh. For them even trying this. - Tue Dec  8 06:49:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: We should order the Raikage removed. - Tue Dec  8 06:49:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Any shinobi that dislikes this is free to leave the village as well. - Tue Dec  8 06:49:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Then we'll re-institutionalize the village as the vassal state it truly is. - Tue Dec  8 06:49:36 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Question. - Tue Dec  8 06:49:36 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Why do farmers have a kage? - Tue Dec  8 06:49:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Manami? - Tue Dec  8 06:49:36 2015
<br><br><font color=teal>*Hokuma, Manami(JustTheTip) says: Mamaa..Miiii - Tue Dec  8 06:50:27 2015
<br><br><font color=teal>*Rias(LionHunter) says: I would agree but I dont want to make emeny while im rebuilding... They are closer to Konoha than Suna - Tue Dec  8 06:50:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Agreeable? - Tue Dec  8 06:50:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And it was just a figure-head position, Trilliam. - Tue Dec  8 06:50:27 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ah ..I see though for a minute we were going to lose are food. - Tue Dec  8 06:51:18 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: That would have ruined our festival. - Tue Dec  8 06:51:18 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: One...Little twoooo.....Threee....Fourrr.....What came after four again?..Seven?...No FIVE! Yup.. Five to two.. Hope they're allies, I hate these numbers... Ughhh. - Tue Dec  8 06:51:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hey, don't be nervous, guy. - Tue Dec  8 06:52:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I ain't call you hear to get killed. - Tue Dec  8 06:52:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anywho, Rias. You ready? - Tue Dec  8 06:52:09 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hmmm will you provide support to Konoha if im attacked - Tue Dec  8 06:52:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll send troops if you're fearful. - Tue Dec  8 06:52:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Of course. - Tue Dec  8 06:52:09 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: *Gulp* I-If you say so! - Tue Dec  8 06:52:09 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Phew.. No death... - Tue Dec  8 06:53:00 2015
<br><br><font color=teal>*Rias(LionHunter) says: Thank you - Tue Dec  8 06:53:52 2015
