<br><font color=teal>*Takuma(Brosis55) says: -- - Thu Dec  3 07:40:22 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: That nigga dead. -omit- - Thu Dec  3 09:14:14 2015
<br><br><font color=teal>*Takuma(Brosis55) says: The hospital isn't far from here. - Thu Dec  3 09:14:14 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hmmmm... I don't like doctors. - Thu Dec  3 09:14:14 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Then I guess we can go to my place. - Thu Dec  3 09:14:14 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Much better.~ - Thu Dec  3 09:14:14 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I'm nervous. - Thu Dec  3 09:14:14 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Smarty-kun.~ - Thu Dec  3 09:14:14 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Wh- - Thu Dec  3 09:15:05 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Wut. . - Thu Dec  3 09:15:05 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Maybe he isn't an idiot, he took my deal. - Thu Dec  3 09:15:05 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: W-What are you doing Sogeki? - Thu Dec  3 09:17:39 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Alberto. - Thu Dec  3 09:17:39 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: I see you.~ - Thu Dec  3 09:17:39 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Del. - Thu Dec  3 09:17:39 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Rio. - Thu Dec  3 09:17:39 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I need my shoulder fixed. - Thu Dec  3 09:17:39 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Why you do dis. - Thu Dec  3 09:18:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Silly Sogeki-kun. - Thu Dec  3 09:18:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: My ninja, my ninja. - Thu Dec  3 09:18:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Ooooooh, Sogeki-kun. - Thu Dec  3 09:18:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Do you.... - Thu Dec  3 09:18:30 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: He just wants to die. . .h-he wants to get himself killed and leave me. - Thu Dec  3 09:18:30 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) turned around in a spin releasing Takum and grinning a wild and crazed cheshire grin.

"....want to play with me?~"* - Thu Dec  3 09:18:30 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Thu Dec  3 09:19:21 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Takuma* - Thu Dec  3 09:19:21 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: But my shoulder. - Thu Dec  3 09:19:21 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Heh, awwwww, you miss my legendary hugs?~ - Thu Dec  3 09:20:12 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Yo fam, you can get all the hugs you want. I just want this shoulder fixed. - Thu Dec  3 09:20:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Why wouldn't I.~ - Thu Dec  3 09:20:12 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: W-What. . . - Thu Dec  3 09:20:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I didn't expect you to be back so soon.~ - Thu Dec  3 09:21:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Didn't even stop by the shop. - Thu Dec  3 09:21:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I should.. beat you.~ - Thu Dec  3 09:21:04 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: H-He is flirting an awful lot. - Thu Dec  3 09:21:04 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) flicked her gaze towards Akarui with a hungry look in her eyes but it wasn't certain if it was animalistic or lustful. Yuriko began to strut towards Sogeki and when she had reached his side she wrapped her arms up around behind his neck and hugged him warmly as her cheek nuzzled in against him.* - Thu Dec  3 09:21:55 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Why are the characters in my stories becoming real? - Thu Dec  3 09:21:55 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: B-but! - Thu Dec  3 09:21:55 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: But we had a deal! - Thu Dec  3 09:21:55 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Thu Dec  3 09:21:55 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yeet Nigga. - Thu Dec  3 09:22:46 2015
<br><br><font color=teal>*Takuma(Brosis55) says: omit - Thu Dec  3 09:22:46 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I'm trying to be a good girl and clean up the mess I made.~ - Thu Dec  3 09:23:37 2015
<br><br><font color=teal>*Takuma(Brosis55) says: The deal is still set. - Thu Dec  3 09:23:37 2015
<br><br><font color=teal>*Takuma(Brosis55) says: But uh, you just look like your hands are full. - Thu Dec  3 09:23:37 2015
<br><br><font color=teal>*Takuma(Brosis55) says: So I'm going to let you guys have some time with one another. - Thu Dec  3 09:23:37 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: W-What? - Thu Dec  3 09:27:53 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Alberto. - Thu Dec  3 09:27:53 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Del. - Thu Dec  3 09:27:53 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: He. . . - Thu Dec  3 09:27:53 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Rio. - Thu Dec  3 09:27:53 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Gets all the hoes. - Thu Dec  3 09:27:53 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) was spun around...because of that she very effectively had flashed everyone in the area with her pink lacy panties. "Weeeeeeeeeeeeeeeeeee.~"* - Thu Dec  3 09:27:53 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: This is why I wanted a title. . . - Thu Dec  3 09:27:53 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: To ba- - Thu Dec  3 09:27:53 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Yo. - Thu Dec  3 09:27:53 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: WAIT! - Thu Dec  3 09:28:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Thu Dec  3 09:28:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hm? - Thu Dec  3 09:28:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Takuma stop being a buzz kill. - Thu Dec  3 09:28:44 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I promised! - Thu Dec  3 09:28:44 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I have to finish the deal! - Thu Dec  3 09:28:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Thu Dec  3 09:28:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I'm not being a buzz kill! - Thu Dec  3 09:28:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Give me a moment to interrogate Mrs Perfection ehre. - Thu Dec  3 09:28:44 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: Sogeki never did that for me. . . - Thu Dec  3 09:29:36 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hmph...I don't like interrogations... - Thu Dec  3 09:30:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: I never did this to Akarui because he got in trouble before from touching her. - Thu Dec  3 09:30:27 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) pouted out and crossed her arms under her chest.* - Thu Dec  3 09:30:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: omit. - Thu Dec  3 09:30:27 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) doesn't breathe either, let's be friends.* - Thu Dec  3 09:30:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Go handle your business with mister buzz kill. - Thu Dec  3 09:31:18 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Heheh, I'll be back. Then we can talk~ - Thu Dec  3 09:31:18 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: We already are friends. . .in a story apparently -omit- - Thu Dec  3 09:31:18 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) walked over towards Takuma and then hooked her arm with his good arm and skipped away towards his home.* - Thu Dec  3 09:32:09 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: It was nice knowing you, guy. - Thu Dec  3 09:33:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Just eat her ass and try to live. - Thu Dec  3 09:33:00 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) || Once they had arrived at the boy's home, wherever it was she only looked around to assure it wasn't some sort of trap. She also looked to see if any windows were open or if he had any plants in the home.* - Thu Dec  3 09:33:52 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Alright. - Thu Dec  3 09:34:43 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Take off the bandages. - Thu Dec  3 09:34:43 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Then you will have to trust me and close your eyes nice and tight.~ - Thu Dec  3 09:34:43 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) did something that would of course go unseen by Takuma but generally it also would be completely silent. Then he would feel something lukewarm against his shoulder wound and she held it in place as his wound would start to feel -amazing- and as if it was regenerating at a rediculous rate. None of the normal side effects of shinobi healing were present, and when she was finished she pulled her hands away and then spoke up with a smile on her face. 

"You can look now," if he did look at the shoulder he would see that there wasn't a -single- scar left. It was perfect, if he ever had a scar there before the bite? It was also gone. The skin and flesh was flawless and there was no pain. If he attempted to have this tissue analyzed by a doctor later he wouldn't be able to figure out what had caused it at all. It was untracable.* - Thu Dec  3 09:39:50 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: ...He's not even surprised? - Thu Dec  3 09:42:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: The last person was so shocked... - Thu Dec  3 09:43:15 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Oh right that was in a story. - Thu Dec  3 09:43:15 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Silly me. - Thu Dec  3 09:43:15 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Heheheh. - Thu Dec  3 09:43:15 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: . . . I bet she's an advanced healer. . . - Thu Dec  3 09:44:06 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) hummed gently and rocked back and forth on her heels. "I'm Yuriko-chan.~"* - Thu Dec  3 09:44:06 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I bet she makes people pay millions of dollars. - Thu Dec  3 09:44:06 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Nice to meet you, Yuriko. My names Takuma. - Thu Dec  3 09:44:06 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) DOES look hella rich.* - Thu Dec  3 09:44:06 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: That clothing, looks like royalty. - Thu Dec  3 09:44:57 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Makes my outfit look lame. - Thu Dec  3 09:44:57 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Takuma-kun... hm. - Thu Dec  3 09:44:57 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I like Smarty-kun better.~ - Thu Dec  3 09:44:57 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I suppose I should appologize for trying to eat you. - Thu Dec  3 09:44:57 2015
<br><br><font color=teal>*Takuma(Brosis55) says: If that's what you want to call me, then that's fine. - Thu Dec  3 09:44:57 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I was a veryyyyyyyyyy bad girl.~ - Thu Dec  3 09:44:57 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Apology accep- - Thu Dec  3 09:44:57 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Right. . . - Thu Dec  3 09:45:48 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) bit down on her lip and eyed him up and down, clearly molesting him with her eyes. "I suppose I will leave you alone now, but remember our deal. If I come back and don't get what I want... I will eat more people.~ Maybe the chilren.~"* - Thu Dec  3 09:45:48 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) nodded a single time and then skipped out of his home.* - Thu Dec  3 09:48:22 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) ran up to Akarui and tried to hug her warmly.* - Thu Dec  3 09:48:22 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: Traitor. - Thu Dec  3 09:49:13 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: I had my hug, she can have hers. - Thu Dec  3 09:49:13 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) blinked a few times and tried to think of how to respond. "I did? Oh I did... yes yes..." She was trying to paly a long since she didn't understand why her story characters had come to life. It was really confusing her honestly... 

"I am visiting, right now!"* - Thu Dec  3 09:55:12 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) she pulled away and reached up to rub her head some with a tiny pout. She was trying to understand how Akarui felt real.* - Thu Dec  3 09:56:54 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Anyway, I think Sogeki wanted to ask you some questions? - Thu Dec  3 09:57:45 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Huh? Oh.. yeah... - Thu Dec  3 09:57:45 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Interrogation. - Thu Dec  3 09:57:45 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You aren't going to hurt me are you? - Thu Dec  3 09:58:36 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Hurt? Why would we hurt our friend? - Thu Dec  3 09:58:36 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) twitched her lips to the side and looked off into the distance. "People do strange things."* - Thu Dec  3 09:58:36 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: They can't hurt me.. they aren't real. - Thu Dec  3 09:58:36 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Hmph. That's silly. - Thu Dec  3 09:58:36 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: We wouldn't hurt out cute Yuriko-Chan!~ - Thu Dec  3 09:59:28 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Why do they FEEL so real? - Thu Dec  3 09:59:28 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: I remember. - Thu Dec  3 09:59:28 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: Had to add the 'chan'. - Thu Dec  3 09:59:28 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: Or she got pissed. - Thu Dec  3 09:59:28 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: H-heh. - Thu Dec  3 09:59:28 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: Hm. . .Are you okay Yuriko-chan? - Thu Dec  3 10:00:19 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) muttered out, "not real not real... no no..not real."* - Thu Dec  3 10:01:10 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..... - Thu Dec  3 10:02:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: I don't want to question her anymore.. - Thu Dec  3 10:02:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Nope. No sirrrr. - Thu Dec  3 10:02:01 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: S-Sogeki. . .help me. . . - Thu Dec  3 10:02:01 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) jerked her head up and then smiled wide, "uh..yes of course Sogeki-kun.~"* - Thu Dec  3 10:02:52 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: He'll be alone with her? T-Trust Akarui. . .trust him. - Thu Dec  3 10:03:44 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: O-Oh? Please don't take long. . . - Thu Dec  3 10:03:44 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) stopped as soon as they entered the house and she stared up at him with confusion and then looked away from him at his confrontational question. "You aren't real."* - Thu Dec  3 10:20:48 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) continued to look away from him in shame, "You aren't real.. not real...no no...not real...you are my story...not real...why are you here? You aren't suppose to be here."* - Thu Dec  3 10:24:12 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) trembled as he took her hand and placed it over his chest and she closed her eyes tightly and shook more as she tried to understand what was going on. "You aren't a story are you?"* - Thu Dec  3 10:27:37 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) trembled more and bit down hard on her lip in fear as she looked up to him. "My Monster broke me."* - Thu Dec  3 10:29:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: From confident, unknowing and.. innocent.. - Thu Dec  3 10:32:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: To trembling.. fearful.. and.. not here.. - Thu Dec  3 10:32:44 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: The family member.... - Thu Dec  3 10:32:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: "Broke" her is an understatement. - Thu Dec  3 10:32:44 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) used her free hand to hold her head and cringed as she groaned lightly as reality and her 'stories' mingled together. She then looked up to him and felt her body shake again as he held her hand. * - Thu Dec  3 10:33:36 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) parted her lips as he lifted her head by her chin and then whined and diverted her gaze and forced her lips together. She pressed against him into the hug and sighed out heavily.* - Thu Dec  3 10:37:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: I tried to stop him... - Thu Dec  3 10:37:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: But I didn't kill him... - Thu Dec  3 10:37:52 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: So he broke me. - Thu Dec  3 10:37:52 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: I had to be punished. - Thu Dec  3 10:37:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Who.. is this family member, Yuriko? What do you mean he had to punish you..? - Thu Dec  3 10:37:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: You're not his pet.. - Thu Dec  3 10:38:43 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) trembled harder at the use of the word 'pet'.* - Thu Dec  3 10:38:43 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) whispers: Y-yes I am... - Thu Dec  3 10:38:43 2015
