<br><font color=yellow>*Momura(JustCallMeGnar) took a deep breathe...She'd take out a kunai and tossed it directly at mitsunara, a fake explosive tag on the end as it'd zoom past her..Wether she were distracted by it or not, momura kept up with her location. The girl suddenly zooming forward at full speed, a good 129mph in an instant. As she did this, the girl leapt into the air and aimed to nail her foot right into the female's face.

"D-Dynamic entry!"* - Mon Nov  9 21:38:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (damage is.. - Mon Nov  9 22:15:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I hope I hit the mark.. - Mon Nov  9 22:19:18 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: O-Or else hanai will b-be disappointed.. - Mon Nov  9 22:19:18 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) blinked, the strike still seemingly doing nothing as her skin is struck by the katana, the girl's eyes widened. She'd suddenly jerk away from mitsunara after being struck, her body shifting back to normal. She'd just kinda lay there..Defeated, a small bit of blood most likely slipping out of her midsection, or a very bad bruise.* - Mon Nov  9 22:22:43 2015
<br><br><font color=teal>*Nari(Ej247) says: NO! - Mon Nov  9 22:23:34 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: He'd run.0 - Mon Nov  9 22:24:25 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: -omit- - Mon Nov  9 22:24:25 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Chicken._ - Mon Nov  9 22:24:25 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) thumbs up to mitsunara.* - Mon Nov  9 22:24:25 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: -omit- - Mon Nov  9 22:24:25 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: So, are we done then? - Mon Nov  9 22:24:25 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Mon Nov  9 22:24:25 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm. Do you need a medic? - Mon Nov  9 22:24:25 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Noo..I'm..f-fine.. - Mon Nov  9 22:24:25 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: A Shame. . . - Mon Nov  9 22:25:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: So.... - Mon Nov  9 22:25:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I can keep going.. - Mon Nov  9 22:25:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-If you want.. - Mon Nov  9 22:25:16 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I'd like to fight. . . - Mon Nov  9 22:25:16 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ...? - Mon Nov  9 22:25:16 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: But too many people around. - Mon Nov  9 22:25:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: HRm? No, there is no need to go on until you are seriously injured, Momura.. Hrm? If you'd like to fight in private, I know a few places. - Mon Nov  9 22:25:16 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) gets up, wiping off her wound painfully..* - Mon Nov  9 22:26:59 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Oh? - Mon Nov  9 22:26:59 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Mind if I fight you...? - Mon Nov  9 22:26:59 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: -@Mitsunara- - Mon Nov  9 22:26:59 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm? If you want to, sure. - Mon Nov  9 22:26:59 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I suggest getting someon- - Mon Nov  9 22:26:59 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: N-Next time..I'll..a-activate my bankai.. - Mon Nov  9 22:26:59 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) thinks: Next time, I'll use my Shikai. - Mon Nov  9 22:27:50 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Well then. - Mon Nov  9 22:27:50 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Regardless. - Mon Nov  9 22:27:50 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Let's go Nari. - Mon Nov  9 22:27:50 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Shall we, then? - Mon Nov  9 22:27:50 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Ready when you are. - Mon Nov  9 22:27:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hey jiki.. - Mon Nov  9 22:28:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I need to t-talk with you.. - Mon Nov  9 22:28:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Mon Nov  9 22:28:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm? What for? - Mon Nov  9 22:28:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Someone pretended to b-be you..A-And threatened me.. - Mon Nov  9 22:28:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And hanai.. - Mon Nov  9 22:28:41 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ... - Mon Nov  9 22:28:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: What?... - Mon Nov  9 22:28:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...... - Mon Nov  9 22:29:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Mon Nov  9 22:29:32 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Work time.. - Mon Nov  9 22:29:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Their voice w-was changed..a-and they said their name w-was jiki. - Mon Nov  9 22:29:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And dashed o-off.. - Mon Nov  9 22:29:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I'm.. going... to pummel whomever it is.... I'm destroying... them... - Mon Nov  9 22:30:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-They probably had a m-mask on.. - Mon Nov  9 22:30:24 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Their voice was changed? As in--... - Mon Nov  9 22:30:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: F-From how their v-voice was.. - Mon Nov  9 22:30:24 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: H-hey...d-do you w-want to...s-spar? - Mon Nov  9 22:30:24 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) should probably note blood is dripping from her side.* - Mon Nov  9 22:31:15 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ... - Mon Nov  9 22:31:15 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: SHUKAKU, SQUARE UP! - Mon Nov  9 22:31:15 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: How did their mask looks...? - Mon Nov  9 22:31:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I didn't see it...They were at m-my door.. - Mon Nov  9 22:32:06 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Shukaku:FIGHT ME BITCH! - Mon Nov  9 22:32:06 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: And I-I didn't let them in.. - Mon Nov  9 22:32:06 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: -omit- - Mon Nov  9 22:32:06 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Smart.. - Mon Nov  9 22:32:06 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...... - Mon Nov  9 22:32:06 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You didn't get a look at them, right? - Mon Nov  9 22:32:06 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No..b-but their voice was s-sort of distorted..L-Like a voice c-changer.. - Mon Nov  9 22:32:57 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: Notice me, Tetsumi. - Mon Nov  9 22:32:57 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: -omit- - Mon Nov  9 22:32:57 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I see... - Mon Nov  9 22:33:48 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Jiki. - Mon Nov  9 22:33:48 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Be careful with who you talk with.. - Mon Nov  9 22:33:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mmmm?... - Mon Nov  9 22:33:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I barely talk to people.. - Mon Nov  9 22:34:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: But whomever it is... - Mon Nov  9 22:34:40 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Knows you well. - Mon Nov  9 22:34:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...*smiled*.... - Mon Nov  9 22:34:40 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ...Your sadist aren't you... - Mon Nov  9 22:34:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Mon Nov  9 22:35:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sadist..? - Mon Nov  9 22:35:31 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Meh..Doesn't matter to me, kill them if you want whenever they reveal themself. - Mon Nov  9 22:35:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mmmm. - Mon Nov  9 22:36:22 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Honestly, If I did... I'd be further up a creek with this village. - Mon Nov  9 22:36:22 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Anyway... tell me more. - Mon Nov  9 22:37:13 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Sounds hot.. - Mon Nov  9 22:37:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh? - Mon Nov  9 22:37:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh uhm. - Mon Nov  9 22:37:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-There isn't much more..T-They said that uhm.. - Mon Nov  9 22:37:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: They'd k-kill hanai.. - Mon Nov  9 22:37:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And be k-kazekage. - Mon Nov  9 22:37:13 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Mon Nov  9 22:38:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Is that all? - Mon Nov  9 22:38:04 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ... - Mon Nov  9 22:38:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea..for the m-most part.. - Mon Nov  9 22:38:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Okay... Good to know. - Mon Nov  9 22:38:04 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Well...Seems I got myself a another mission... - Mon Nov  9 22:38:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: 9so - Mon Nov  9 22:38:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Mon Nov  9 22:39:47 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Jiki.. - Mon Nov  9 22:39:47 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You're going to report aren't you... - Mon Nov  9 22:39:47 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Report? Sure Sure. Let's go with that. - Mon Nov  9 22:40:38 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: .... - Mon Nov  9 22:40:38 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Meh.. - Mon Nov  9 22:40:38 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Less work.. - Mon Nov  9 22:40:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *leaves* - Mon Nov  9 22:40:38 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) walked to the hospital.* - Mon Nov  9 22:40:38 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (if u want - Mon Nov  9 22:41:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (i'll make an alt 4 u to spread the sabaku clan with - Mon Nov  9 22:41:29 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (?) - Mon Nov  9 22:41:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (:3 - Mon Nov  9 22:41:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (SPREAD DA CLAN - Mon Nov  9 22:41:29 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Nah. I'll most likely die with my techs.) - Mon Nov  9 22:41:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (ah well oki - Mon Nov  9 22:41:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (remember to be my child >;3 - Mon Nov  9 22:41:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (u can have my clan and stuff - Mon Nov  9 22:41:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (which is op - Mon Nov  9 22:42:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hi. - Mon Nov  9 23:00:16 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Howdy - Mon Nov  9 23:00:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm...M-Marrisa.. - Mon Nov  9 23:01:07 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: D-Do you know a lot of j-jutsus? And..u-uhm...a-are you strong? - Mon Nov  9 23:01:07 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Hmm - Mon Nov  9 23:01:58 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) whispers: Yes. . I have quite a few. . but I am not sure If I am very strong. - Mon Nov  9 23:01:58 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: W-Wanna go s-somewhere private? - Mon Nov  9 23:02:49 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) whispers: uhh. . I suppose? - Mon Nov  9 23:02:49 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) lead the way, she'd walk a bit funky, as she had recently been cut down.* - Mon Nov  9 23:03:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Here work? - Mon Nov  9 23:03:40 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I guess? - Mon Nov  9 23:03:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Okay.uhm.. - Mon Nov  9 23:03:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Let's spar. - Mon Nov  9 23:03:40 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) suddenly dashed at marrisa, leaping into the air as she'd be moving at a good 129 mph.

She'd aim to kick her in the face.

"D-Dynamic entry!"* - Mon Nov  9 23:05:23 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Both of you...Bend over and cough. I want to see those cheeks. - Mon Nov  9 23:07:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Now. - Mon Nov  9 23:07:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Spread Em'! - Mon Nov  9 23:07:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: You can't handle them! - Mon Nov  9 23:08:48 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Bitch please, this ten inch dick will fit in your breast while you suck on the tip. Now, open wide. - Mon Nov  9 23:09:39 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: -omit before he's merked- - Mon Nov  9 23:10:30 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) was kicked in the abdomen after she had missed, flinging into the air and onto he back in the sand. She'd get back onto her feet and glanced at marrisa, still hurting from her last fight..

"Y-You're strong."* - Mon Nov  9 23:18:11 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: . . Not at all. .  - Mon Nov  9 23:18:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You are.. - Mon Nov  9 23:18:11 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: What happened to you? Do you need a medic? I can get Bryson for you. - Mon Nov  9 23:19:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No..I'm fine.. - Mon Nov  9 23:19:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I was in a spar.. - Mon Nov  9 23:19:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: And got c-cut.. - Mon Nov  9 23:19:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But uhm..t-thanks for your time! - Mon Nov  9 23:22:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: G-Goodbye - Mon Nov  9 23:22:27 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Tue Nov 10 00:11:56 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Excuse me. - Tue Nov 10 00:15:21 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Odd. I had anticipated one of you taking up the offer. - Tue Nov 10 00:17:55 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Tue Nov 10 00:23:02 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Yo. - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Not really, did you beat that one girl? - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: No. They've all fell silent. - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: We both agreed to stop. We where about to put each other into the hospital mutually, heh. - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Things where a bit too even, I guess. - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Oh, cool. - Tue Nov 10 00:23:53 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Still wan to spar? - Tue Nov 10 00:24:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Mrm... I wouldn't be averse to it- but I'll need to eat after. I've caught a good bit of a breather as is, and the hospital was nice... wait, which girl are you asking if I beat? - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I fought two. - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: The darkskined one. - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I flattened the Waitress totally with no damage, then someone else stepped up and gave me a really good fight. - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Anyway.. - Tue Nov 10 00:25:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: H-Hmph.. - Tue Nov 10 00:28:09 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: *drops perks from pocket* - Tue Nov 10 01:03:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yeah... - Tue Nov 10 01:09:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Sure... - Tue Nov 10 01:09:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Was.. - Tue Nov 10 01:09:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ... Medicccc. - Tue Nov 10 01:12:32 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) whispers: May I speak with you? Elsewhere. - Tue Nov 10 01:15:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Me? - Tue Nov 10 01:15:56 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Yeah. - Tue Nov 10 01:15:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Why? - Tue Nov 10 01:15:56 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: If I could say why, I wouldn't have said elsewhere. - Tue Nov 10 01:15:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: We can t-talk at my r-restaurant. - Tue Nov 10 01:16:48 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Lead the way? - Tue Nov 10 01:16:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Wait. - Tue Nov 10 01:16:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Guys. - Tue Nov 10 01:16:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: She's injured. - Tue Nov 10 01:16:48 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Call a Medic! - Tue Nov 10 01:16:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Uyahh... - Tue Nov 10 01:17:39 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) noted only one table was occupied, and there was a chef and cashier.* - Tue Nov 10 01:17:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: W-What is it? - Tue Nov 10 01:18:30 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I apologize, I was just hoping you would be willing to chat is all, I don't do good in large crowds, and was hoping to make a friend. - Tue Nov 10 01:18:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh uhm..a-alright.. - Tue Nov 10 01:19:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-My name is Momura. - Tue Nov 10 01:19:21 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Yuta. - Tue Nov 10 01:19:21 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: It's a pleasure. - Tue Nov 10 01:19:21 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: What do you do for fun? - Tue Nov 10 01:20:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Train..hangout with hanai...b-be with friends.. - Tue Nov 10 01:20:12 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Hanai? - Tue Nov 10 01:20:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea. - Tue Nov 10 01:20:12 2015
