<br><font color=teal>*Ortho(DhatBoiNick) says: Until I claim the life of Lera. - Wed Nov  4 23:41:39 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Being pushed back, he'd keep a straight face. Rising once more to his feet, he'd shrug, "Well then. No point in me staying here. I don't seem to be of any help." saying such, he'd dust himself off and contemplate where he wanted to go.* - Thu Nov  5 02:06:43 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, do what you decide to do, and I'll decide what to do in return. - Thu Nov  5 02:07:34 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Shrugging, looking to her once more he'd ask in a monotoned voice, as he was asking this in a logical manor, "Does me being around help you at all?" as he had originally only came here because of her in the first place.* - Thu Nov  5 02:09:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: It could in the future, you never know. - Thu Nov  5 02:14:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: But it isn't now? - Thu Nov  5 02:15:15 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Like I said, you never know. - Thu Nov  5 02:15:15 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'm not asking of the future. - Thu Nov  5 02:16:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What if you leave and someone tries to attack me. - Thu Nov  5 02:16:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Two against one could scare them off. - Thu Nov  5 02:16:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So, like I said, you never know. - Thu Nov  5 02:16:57 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Let me rephrase. - Thu Nov  5 02:16:57 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Do you want me here? - Thu Nov  5 02:16:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't care if you're here, as long as you're on my side. - Thu Nov  5 02:17:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Thu Nov  5 02:17:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hell, I don't care if Ortho is here. - Thu Nov  5 02:17:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: That doesn't exactly help my problem. - Thu Nov  5 02:19:31 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Look, I'm going to be straight to the point. If you want to leave, then leave. - Thu Nov  5 02:19:31 2015
<br><br><font color=teal>*Nina(Ninasky115) says: That's on you. - Thu Nov  5 02:19:31 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) sighing a bit more, he'd sit where he was again, rubbing his stomach where he had been hit, "I'm looking for a reason to stay or leave. I'm basically undecided."* - Thu Nov  5 02:21:13 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Shaking his head he'd say, "Power is but a bi-product. I cam here orignally for you." saying such in a simple manor he'd then go on to say, "Though I'm sorry to inform you, but Kirigakure is basically gone. They all fled to Suna. Thus, why I plan to take hold of Kirigakure once I have the power."* - Thu Nov  5 02:22:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Whoever sit around instead of helping Violet will die. - Thu Nov  5 02:23:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: By my hands if need be. - Thu Nov  5 02:23:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And the one with her swords will die slowly. - Thu Nov  5 02:24:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No matter what village they are occupied in. - Thu Nov  5 02:24:38 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .I see. - Thu Nov  5 02:24:38 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: As I said, I came here originally for you. Though if you plan to go on some big revenge, why are you still with Ortho? He was the main cause to it. - Thu Nov  5 02:26:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Would not have happened if the village had helped instead of letting her fight alone. - Thu Nov  5 02:26:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Thu Nov  5 02:27:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Multiple people died fighting him. - Thu Nov  5 02:27:12 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Multiple people also sat around watching them fight because they're cowards. - Thu Nov  5 02:27:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: The ones who didn't help were either not there at the time, or were too weak. - Thu Nov  5 02:27:12 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'd rather fight and die with someone than to live and watch them die. - Thu Nov  5 02:27:12 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) simply shakes his head and sighs again, he was beginning to think this was all a bad idea on his part, "So you're telling me, what you blame the village more than you blame the man who purposely went there to kill her? Is it because you're related?"* - Thu Nov  5 02:28:54 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Sighing he'd simply look to her and say, "You're but a shell now. I'll talk to you again once you learn how to use your emotions again. At least the ones besides hate." saying such he'd move to begin and walk away. He may have been weak, but he had his mind set again. He had taken back his original choice to stay with Nina, and would deicide to walk a different path now.* - Thu Nov  5 02:33:10 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Having made his way to Konoha, only to realize that he felt he had made yet another bad choice, he would have made his way back. Upon arrival, he'd sit, not saying anything.* - Thu Nov  5 02:49:23 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) seeing a person suddenly poof into the area, though, being that he had just been in a sort of argument, it really wouldn't affect him. Sitting on the path up to the higher building, he'd raise a hand to them, "Yo."* - Thu Nov  5 04:06:11 2015
<br><br><font color=teal>*Konami(AxelFraire) says: Hmm. - Thu Nov  5 04:08:44 2015
<br><br><font color=teal>*Konami(AxelFraire) says: What brings another soul to Kumogakure? - Thu Nov  5 04:08:44 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: D'unno. - Thu Nov  5 04:11:18 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Visiting? - Thu Nov  5 04:11:18 2015
