<br><font color=teal>*Sumie(Ninask115) says: Hmm....? - Fri Oct 30 17:26:36 2015
<br><br><font color=yellow>*Sumie(Ninask115) follow follow? yeeah, that's what she'll do* - Fri Oct 30 17:27:28 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: You know Suiton, correct? - Fri Oct 30 17:42:49 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: No, techniques. - Fri Oct 30 17:44:32 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: Is he serious, he knows I can kill him with a flick of my wrist-- right? - Fri Oct 30 17:47:56 2015
<br><br><font color=teal>*Alex(Ninask115) says: Oh my, hello guys. - Mon Dec  7 23:42:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: There where other people around.. hell, the larger crowd went elsewhere. - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Alex(Ninask115) says: Th-That's too.....big... - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Alex(Ninask115) says: Hnng, s-sorry... - Tue Dec  8 01:14:14 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . .  - Tue Dec  8 01:27:53 2015
<br><br><font color=teal>*Alex(Ninask115) thinks: I really don't have any friends. Only my bats..... - Tue Dec  8 01:33:00 2015
<br><br><font color=yellow>*Alex(Ninask115) nodded as she walked forward a little bit, opening her mouth to speak. A screeching sound came out, which caused her to turn her head and begin coughing and clearing her throat, trying her best to run over what she had just did. There seemed another reason why she was so shy, but what was the reason for that?* - Tue Dec  8 01:37:16 2015
<br><br><font color=yellow>*Alex(Ninask115) looked down at her hands as they were twirling around one another. With all eyes on her, she was just quiet. "S-So....uhh...........how is it?" These words came out all choked up, as if she had never even spoken before. There was always a tone of scratchyness behind it.* - Tue Dec  8 01:54:20 2015
<br><br><font color=teal>*Alex(Ninask115) says: ..... - Tue Dec  8 02:15:40 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . .  - Tue Dec  8 02:16:32 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Hah. I wouldn't be surprised. No comments, young one? - Tue Dec  8 02:16:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hrm? - Tue Dec  8 02:16:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Asteroth-/Sama/..? - Tue Dec  8 02:17:23 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Ohhohoho my.. - Tue Dec  8 02:17:23 2015
<br><br><font color=teal>*Alex(Ninask115) says: N-No... - Tue Dec  8 02:17:23 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) whispers: Damn. You have a lot of minions, huh? - Tue Dec  8 02:18:14 2015
<br><br><font color=yellow>*Alex(Ninask115) slowly slithered away from the seat and back to her standing position, a bit of ways away from the table.* - Tue Dec  8 02:21:39 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah, kid, what's wrong? - Tue Dec  8 02:23:21 2015
<br><br><font color=teal>*Alex(Ninask115) says: No...thing. - Tue Dec  8 02:24:12 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Clearly. Something is wrong. . Speak. - Tue Dec  8 02:26:46 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: ANd yes, I'm fine, Menma. - Tue Dec  8 02:26:46 2015
<br><br><font color=teal>*Alex(Ninask115) says: Noth-thing's wrong.... - Tue Dec  8 02:26:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah... - Tue Dec  8 02:27:37 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: THen speak concisely.. - Tue Dec  8 02:27:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I think I offended the kid, going off about the Hokage.. - Tue Dec  8 02:27:37 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Ah? - Tue Dec  8 02:27:37 2015
<br><br><font color=teal>*Alex(Ninask115) says: N-No....not that.. - Tue Dec  8 02:28:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hrm? Then what, m'dear. - Tue Dec  8 02:28:28 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I got you a Present Asteroth-sama. - Tue Dec  8 02:30:11 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm? - Tue Dec  8 02:31:02 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: My.. - Tue Dec  8 02:37:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: You have such loyal.... 'freinds', Asteroth- I'm quite impressed. - Tue Dec  8 02:38:43 2015
<br><br><font color=teal>*Alex(Ninask115) says: ..... - Tue Dec  8 02:39:34 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Well. . I am a people's person. - Tue Dec  8 02:41:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm, I can see that.... you seem like the kind of person it pays to get to know better, mrm... I wonder when our food will get here. - Tue Dec  8 02:42:08 2015
<br><br><font color=yellow>*Alex(Ninask115) blinked as she was 'yelled' at by the girl. Ignoring this, she walked forward towards Asteroth, her animalistic nature taking over. Aiming to take the utensils from off of the table, she'd move quickly through the motions to cut the girls food in similar amounts as the first one that she did. It was simply in her nature to help people as generously as she could. After doing that, she'd look around to see anything else that needed help, and then move over to her corner. "S-Sorry..."* - Tue Dec  8 03:04:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: .... - Tue Dec  8 03:05:10 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: ...'Yet'. - Tue Dec  8 03:06:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Kid... I'd do it. - Tue Dec  8 03:06:52 2015
<br><br><font color=yellow>*Alex(Ninask115) blinked lightly as she moved forward, her hands idly rotating around one another as she moved forward. "I'm j-just shy......weird."* - Tue Dec  8 03:08:35 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm.. - Tue Dec  8 03:11:08 2015
<br><br><font color=yellow>*Alex(Ninask115) looked down and slide into the seat next to Asteroth, watching half of the food being slid over to her. Moving her hands up, she'd take out a few pieces that didn't even add up to one fourth of the -half-, then slid the remainder back to Asteroth so that she could eat it.* - Tue Dec  8 03:17:07 2015
<br><br><font color=yellow>*Alex(Ninask115) looked down and shook her head a little. "N-No thank you..."* - Tue Dec  8 03:23:56 2015
<br><br><font color=teal>*Alex(Ninask115) says: ...... - Wed Dec  9 08:05:58 2015
<br><br><font color=teal>*Alex(Ninask115) says: Hello. - Wed Dec  9 08:19:37 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: How are you - Wed Dec  9 08:21:20 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah.? - Wed Dec  9 08:21:20 2015
<br><br><font color=teal>*Alex(Ninask115) says: F-Fine.... - Wed Dec  9 08:22:11 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: How are you? Whats your name - Wed Dec  9 08:29:00 2015
<br><br><font color=teal>*Alex(Ninask115) says: M-My name is.....Alex..... - Wed Dec  9 08:29:00 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Well Its a pleasure to meet you Alex I am your Hokage Rias - Wed Dec  9 08:29:52 2015
<br><br><font color=teal>*Alex(Ninask115) says: Nice to.....meet you. - Wed Dec  9 08:30:43 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Are you new to the village? - Wed Dec  9 08:33:16 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Mrm.. - Wed Dec  9 08:33:16 2015
<br><br><font color=teal>*Alex(Ninask115) says: N-No.... - Wed Dec  9 08:34:08 2015
<br><br><font color=teal>*Alex(Ninask115) says: I'm....a genin... - Wed Dec  9 08:34:08 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Ok I see well if you need anything call me~ - Wed Dec  9 08:34:08 2015
<br><br><font color=teal>*Alex(Ninask115) says: Well......a-a teacher... - Wed Dec  9 08:34:59 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: A teacher for what, Mrm? - Wed Dec  9 08:35:50 2015
<br><br><font color=teal>*Alex(Ninask115) says: n-ninjutsu.... - Wed Dec  9 08:37:32 2015
<br><br><font color=teal>*Alex(Ninask115) says: I'm no-not really....offensive yet....... - Wed Dec  9 08:37:32 2015
<br><br><font color=teal>*Alex(Ninask115) says: So.......I'm l-like....dead weight.. - Wed Dec  9 08:37:32 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: What dont say that! - Wed Dec  9 08:39:15 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: I love all you you dearly - Wed Dec  9 08:39:15 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah.. I see. - Wed Dec  9 08:40:57 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: What do you know already, maybe I can help? I don't know any Ninjutsu.. - Wed Dec  9 08:40:57 2015
<br><br><font color=teal>*Alex(Ninask115) says: N-Nothing..... - Wed Dec  9 08:41:48 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah.. ? Nothing..? - Wed Dec  9 08:41:48 2015
<br><br><font color=teal>*Alex(Ninask115) says: I-I know.....fuuinjutsu. - Wed Dec  9 08:41:48 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah! Me to! - Wed Dec  9 08:42:40 2015
<br><br><font color=teal>*Alex(Ninask115) says: C-Can you.....summon,,? - Wed Dec  9 08:43:31 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah, yes. - Wed Dec  9 08:46:56 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Dogs, mostly. - Wed Dec  9 08:46:56 2015
<br><br><font color=teal>*Alex(Ninask115) says: Interesting.......can I s-see....? - Wed Dec  9 08:46:56 2015
<br><br><font color=teal>*Alex(Ninask115) says: Oh cool. - Wed Dec  9 08:54:36 2015
<br><br><font color=yellow>*Alex(Ninask115) raised her hand to bite her finger, her canine teeth abnormally sharp. It drew blood quickly and easily, and after that Kinami would begin to flow through a bit of handseals with no hesitation. After creating the puff of smoke, she'd turn and wave to the Hokage as a bat flew over to land on her shoulder.* - Wed Dec  9 08:58:01 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Oh, thats special... a cute little bat~  - Wed Dec  9 08:58:52 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Well dont you two cause too much trouble - Wed Dec  9 08:58:52 2015
<br><br><font color=teal>*Alex(Ninask115) says: I'm going t-to tell her......to fly to y-your...house. - Wed Dec  9 08:59:44 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Her? - Wed Dec  9 09:04:00 2015
<br><br><font color=teal>*Alex(Ninask115) says: Mhm... - Wed Dec  9 09:04:51 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Girl bat? - Wed Dec  9 09:04:51 2015
<br><br><font color=teal>*Alex(Ninask115) says: T-They have gender too! - Wed Dec  9 09:05:42 2015
<br><br><font color=teal>*Alex(Ninask115) says: They're l-like my....family... - Wed Dec  9 09:05:42 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Thats true enough - Wed Dec  9 09:05:42 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Well thats sweet... Well I welcome them too - Wed Dec  9 09:05:42 2015
<br><br><font color=teal>*Alex(Ninask115) says: G-Good. - Wed Dec  9 09:06:33 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: I will catch you later - Wed Dec  9 09:07:24 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Well I have a special ability only my family wield - Wed Dec  9 10:02:01 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: What kind of ability? - Wed Dec  9 10:02:01 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: I can peek at your mind and find out about your past - Wed Dec  9 10:02:52 2015
<br><br><font color=yellow>*Alex(Ninask115) walked into the mansion with a small bat flying around her head.* - Wed Dec  9 10:02:52 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Oh hey Alex sweetie, As you can see my sleep got interrupted - Wed Dec  9 10:05:26 2015
<br><br><font color=teal>*Alex(Ninask115) says: M-Mhm.... - Wed Dec  9 10:05:26 2015
<br><br><font color=yellow>*Alex(Ninask115) turned her eyes towards Yuriko as she was staring, causing Alex to turn her head the opposite way and look down towards the ground.* - Wed Dec  9 10:08:00 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: I act as a medium and I will send your memories to myself via a telepathic link... only you and I will know what is going on - Wed Dec  9 10:11:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Oh... my mind. - Wed Dec  9 10:12:16 2015
<br><br><font color=teal>***Hokage**(LionHunter) thinks: I assume she has a brain... - Wed Dec  9 10:12:16 2015
<br><br><font color=yellow>*Alex(Ninask115) 's bat lands on her shoulder lightly, screeching lightly in her ear even though it would most likely not be heard by others.* - Wed Dec  9 10:20:48 2015
<br><br><font color=yellow>*Alex(Ninask115) blinked at Yuriko a little bit, then turned her head away from the girl again. "A-A bat..."* - Wed Dec  9 10:48:06 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Oh. - Wed Dec  9 10:48:57 2015
<br><br><font color=teal>*Alex(Ninask115) says: M-hm... - Wed Dec  9 10:49:48 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I didn't know bats came out of caves. - Wed Dec  9 10:49:48 2015
<br><br><font color=teal>*Alex(Ninask115) says: T-They do... - Wed Dec  9 10:49:48 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Why are you scared? - Wed Dec  9 10:51:31 2015
<br><br><font color=teal>*Alex(Ninask115) says: Wha? - Wed Dec  9 10:52:22 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: The stuttering. - Wed Dec  9 10:53:13 2015
<br><br><font color=teal>*Alex(Ninask115) says: O-Oh......I j-just do it... - Wed Dec  9 10:56:38 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Why? - Wed Dec  9 10:58:20 2015
<br><br><font color=yellow>*Alex(Ninask115) looked directly down at the ground even harder. "I-I can't.....talk..very well...."* - Wed Dec  9 11:00:03 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Oh. - Wed Dec  9 11:00:54 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: It's not hard. - Wed Dec  9 11:00:54 2015
<br><br><font color=teal>*Alex(Ninask115) says: Mmm.. - Wed Dec  9 11:01:45 2015
<br><br><font color=teal>*Alex(Ninask115) says: C-Could you.....stop staring.. - Wed Dec  9 11:12:00 2015
<br><br><font color=teal>*Alex(Ninask115) says: T-Thank you. - Wed Dec  9 11:15:24 2015
<br><br><font color=teal>*Alex(Ninask115) says: S-So..... - Wed Dec  9 11:36:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: How is Ketsuki? - Sat Dec 12 19:02:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ai. You think you could go beat up Kana? - Sat Dec 12 19:03:50 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: That's good! - Sat Dec 12 19:04:41 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Base Kana? - Sat Dec 12 19:04:41 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Yeah. - Sat Dec 12 19:04:41 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Kana using her beast? - Sat Dec 12 19:04:41 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Nope. - Sat Dec 12 19:04:41 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What? Her beast is part of her power, tch. - Sat Dec 12 19:05:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Damn. - Sat Dec 12 19:05:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That makes things difficult. Ergh.. - Sat Dec 12 19:05:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You think I could? - Sat Dec 12 19:05:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I could try dropping a giant turtle on her, I guess.. - Sat Dec 12 19:05:32 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Depends. - Sat Dec 12 19:05:32 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: Find a counter to her water.. - Sat Dec 12 19:05:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh? I'm a Doton elementalist. - Sat Dec 12 19:05:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Well.. - Sat Dec 12 19:05:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It's one of my affinities. - Sat Dec 12 19:06:24 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Smart yet not smart. - Sat Dec 12 19:06:24 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: Maybe you can find away around her and take her on in close combat..? - Sat Dec 12 19:06:24 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You'll need to keep your eyes on her at all times. - Sat Dec 12 19:06:24 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ----Won't be wise to Mizora. - Sat Dec 12 19:06:24 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: If she was like me. - Sat Dec 12 19:07:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Dunno. Hopefully her transformations don't make her as durable as Tetsumi. - Sat Dec 12 19:07:15 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: Can she do what you can do, but with water? - Sat Dec 12 19:07:15 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: She'll regenerate from the damage within moments. - Sat Dec 12 19:07:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So? It's stressing to regenerate I bet. - Sat Dec 12 19:07:15 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Not really. - Sat Dec 12 19:07:15 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: You could just run in and seal her in something. - Sat Dec 12 19:07:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeh. . I'll find a way. <*Shrugs*> If push comes to shove. - Sat Dec 12 19:08:06 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I was instant..She had more 'tails' so I'm assuming hers is better. - Sat Dec 12 19:08:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Sounds concerning.  - Sat Dec 12 19:08:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: But why am I so unafraid? - Sat Dec 12 19:08:57 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: I thought you were her teacher. - Sat Dec 12 19:08:57 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: Not anymore? - Sat Dec 12 19:08:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I was for a little. Then she went back to Kiri. I haven't seen her in years. - Sat Dec 12 19:08:57 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: Mm.. - Sat Dec 12 19:09:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: All of a sudden, she's a hoodlum? Tch. I'mma give her the wedgie of a life time. - Sat Dec 12 19:09:48 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: If I catch her unguarded and in attacking range she'd better be prepared to stand after having sixty four of her tenketsu sealed... - Sat Dec 12 19:10:40 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: I never got a good vibe from her years ago. - Sat Dec 12 19:11:31 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: But that may've just been paranoia. - Sat Dec 12 19:11:31 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: She'll recover from it Mizora. - Sat Dec 12 19:11:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Doubt it. - Sat Dec 12 19:11:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Tenketsu aren't something that can be healed. - Sat Dec 12 19:11:31 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: They can only be sealed and unsealed. - Sat Dec 12 19:11:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If she does block off her chakra, Kana would have to rely. - Sat Dec 12 19:11:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: On her beast. - Sat Dec 12 19:11:31 2015
<br><br><font color=teal>*Ryutou, Mizora(Dandere-chan) says: Unless I kill her before she can. - Sat Dec 12 19:12:22 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Well. - Sat Dec 12 19:12:22 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Sanoke..That's what she's doing. - Sat Dec 12 19:12:22 2015
