<br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Huh? - Tue Dec  1 09:05:42 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) couldn't help but laugh.* - Tue Dec  1 09:27:53 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: That's a turn on too. - Tue Dec  1 09:27:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: What is? - Tue Dec  1 09:27:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: ----------------Why do I CARE? - Tue Dec  1 09:27:53 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Real savages think on their feet and humiliate their enemy. - Tue Dec  1 09:28:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ...i.. - Tue Dec  1 09:28:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: If I didn't know any better, I'd say you're trying to impress me. - Tue Dec  1 09:28:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Yup, I think that's it.~ - Tue Dec  1 09:28:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: N-nah. - Tue Dec  1 09:29:36 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) leaned over a bit and nudges her.* - Tue Dec  1 09:30:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: It's okay to admit it.~ - Tue Dec  1 09:30:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Our little secret, no?~ - Tue Dec  1 09:30:27 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Nah.... - Tue Dec  1 09:31:18 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: You are just being cocky. - Tue Dec  1 09:31:18 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I wasn't trying to impess you. - Tue Dec  1 09:31:18 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Ehh? - Tue Dec  1 09:32:09 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Alright, fine. - Tue Dec  1 09:32:09 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: We'll say you weren't trying to impress me. - Tue Dec  1 09:32:09 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: ..Then.. - Tue Dec  1 09:32:09 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Now? I'm pretty sure you are.~ - Tue Dec  1 09:32:09 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I was trying to fuck you up in a way that would put you down without me having to break something. - Tue Dec  1 09:32:09 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: ----- - Tue Dec  1 09:33:00 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) leans in a bit more, placing his lips next to her ears without touching her. "Complete.. turn on, Mrs Savage.~"* - Tue Dec  1 09:33:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Is that...my nickname now? - Tue Dec  1 09:34:43 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Depends. - Tue Dec  1 09:35:34 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Do you like it? - Tue Dec  1 09:35:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ...a little. - Tue Dec  1 09:35:34 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) nodded, his nose grazing over her ear slightly. He back up again and looks at her, "all yours then.~"* - Tue Dec  1 09:37:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: You gotta...stop that. - Tue Dec  1 09:38:08 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: What is 'that'? - Tue Dec  1 09:38:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Trying to tease me... - Tue Dec  1 09:38:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Trying to get me to enjoy you touching me in small ways. - Tue Dec  1 09:38:59 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I told you I would work to figure out what you liked and didn't like. - Tue Dec  1 09:38:59 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I mean.. of course you can say 'not working Sogeki' and I'll try to find a different way.. - Tue Dec  1 09:39:50 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: It's...  - Tue Dec  1 09:40:41 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Doing something. - Tue Dec  1 09:40:41 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Just tell me 'good' or 'bad'.. and I'll go from there. - Tue Dec  1 09:41:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ....good.... - Tue Dec  1 09:42:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: But... - Tue Dec  1 09:42:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ngng. - Tue Dec  1 09:42:24 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) blinked a few times, "but.. you don't want that?"* - Tue Dec  1 09:43:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I just... - Tue Dec  1 09:44:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It's weird for me yeah? - Tue Dec  1 09:44:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Can we just talk? - Tue Dec  1 09:44:06 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Anything you want. - Tue Dec  1 09:44:57 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) leans back a bit more and placed his hands in his pockets.* - Tue Dec  1 09:47:31 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Like what? - Tue Dec  1 09:48:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmm? - Tue Dec  1 09:48:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: When it comes to anything you want? - Tue Dec  1 09:48:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I mean... what do you want to talk about? - Tue Dec  1 09:49:13 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Ahh. - Tue Dec  1 09:50:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Well.. I want to know what makes you.. you. - Tue Dec  1 09:50:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Your beliefs.. views.. - Tue Dec  1 09:50:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Mn.. anything more specific and easier to answer? - Tue Dec  1 09:50:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Are you happy? - Tue Dec  1 09:50:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....in general? - Tue Dec  1 09:51:47 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yes. - Tue Dec  1 09:51:47 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I got what i wa-- - Tue Dec  1 09:51:47 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... well, I can't talk about that. - Tue Dec  1 09:51:47 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Confidential. - Tue Dec  1 09:51:47 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) leaned his head back and looks up at the ceiling.* - Tue Dec  1 09:52:38 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Of course, of course. - Tue Dec  1 09:52:38 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Are you happy with.. yourself? - Tue Dec  1 09:52:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Always. - Tue Dec  1 09:52:38 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..... - Tue Dec  1 09:53:29 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) opened his mouth to say something, but quickly bit down on his lower lip "Good, good," he mutters.* - Tue Dec  1 09:54:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I saw that. - Tue Dec  1 09:57:45 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What is it. - Tue Dec  1 09:57:45 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Nothing, nothing.. - Tue Dec  1 09:58:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Just.. another turn on.. - Tue Dec  1 09:58:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Just say  it. - Tue Dec  1 09:59:28 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) shook his head, smirking a bit.* - Tue Dec  1 09:59:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Nope. - Tue Dec  1 10:00:19 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) wrinkled his nose. "H-Hey.." He leans over and nudges her, "I'm not saying.~"* - Tue Dec  1 10:02:01 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yes you are. - Tue Dec  1 10:03:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Because I can beat dat ass. - Tue Dec  1 10:03:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Oh look at you.~ - Tue Dec  1 10:03:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I know right. - Tue Dec  1 10:03:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: 'Savage'. - Tue Dec  1 10:04:35 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's eyes widened a bit, a smirk immediately forming on his face.* - Tue Dec  1 10:04:35 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: It's a revolution. - Tue Dec  1 10:04:35 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Thought you would like that. - Tue Dec  1 10:05:26 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's smirk grew even wiser.* - Tue Dec  1 10:07:08 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Just admit that you're trying to impress me. - Tue Dec  1 10:07:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Maybe. - Tue Dec  1 10:08:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: So are you going to ask more quesetions. - Tue Dec  1 10:08:51 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Or dwell on what you already know? - Tue Dec  1 10:08:51 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Hmm.. let me think. - Tue Dec  1 10:09:42 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) audibly, and obnoxiously, hums.* - Tue Dec  1 10:10:33 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright. I have one. - Tue Dec  1 10:11:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: You plan on going rogue? - Tue Dec  1 10:12:16 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Go a head. - Tue Dec  1 10:15:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Do you think I would go rogue? - Tue Dec  1 10:16:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I think you'll do what you have to. - Tue Dec  1 10:20:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....I see. - Tue Dec  1 10:21:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Perhaps I'm not the same person you thought I am. - Tue Dec  1 10:21:39 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Listen.. - Tue Dec  1 10:21:39 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: When you live in this world.. your views change and you have to mold yourself to stay alive.. - Tue Dec  1 10:21:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I can't even explain it to you without revealing my mission.... - Tue Dec  1 10:22:30 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) slowly shook his head, "don't worry."* - Tue Dec  1 10:23:21 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I'm not asking for that. - Tue Dec  1 10:23:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Nah.... - Tue Dec  1 10:24:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Fuck it. - Tue Dec  1 10:24:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You are the only person other than the kage that I care about still in this village so you might as well know, I don't want you thinking badly of me. - Tue Dec  1 10:24:12 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) lowered his head and snapped his eyes in her direction. "Oi."* - Tue Dec  1 10:25:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Let.. me stop you there. - Tue Dec  1 10:25:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Tue Dec  1 10:25:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Tell me or not.. I'll never think badly of you.. - Tue Dec  1 10:25:55 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: -Ever-. - Tue Dec  1 10:25:55 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Am I understood? - Tue Dec  1 10:25:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....yeah...sheesh. - Tue Dec  1 10:26:46 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) smiles, "good.~" he raises his head and looks back up at the ceiling.* - Tue Dec  1 10:27:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Still going to tell you. - Tue Dec  1 10:27:37 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ------ - Tue Dec  1 10:27:37 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: You're so defiant.. - Tue Dec  1 10:27:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: That I am. - Tue Dec  1 10:27:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You're learning. - Tue Dec  1 10:27:37 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Might take up that offer on marrying you if you keep that up.~ - Tue Dec  1 10:28:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I don't know when but probably soon it will be rumored heavily that I did in fact become a traitor. - Tue Dec  1 10:28:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: --- - Tue Dec  1 10:29:20 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) coughs. "Oh really?"* - Tue Dec  1 10:29:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It won't be true. - Tue Dec  1 10:29:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I made a deal with the kage. - Tue Dec  1 10:29:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: He said he will deem it as him 'releasing me' but we both know that won't go over well. - Tue Dec  1 10:29:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: He will have to change it to me being a traitor. - Tue Dec  1 10:29:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: He was in denial. - Tue Dec  1 10:30:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: For politics he will have to rule me a traitor. - Tue Dec  1 10:30:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: In fact... I work for him, and only him now. - Tue Dec  1 10:30:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: As a spy and informant. - Tue Dec  1 10:30:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...I already stopped a war.... - Tue Dec  1 10:30:11 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..A war..? - Tue Dec  1 10:31:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yeah... between Kiri and Kumo. - Tue Dec  1 10:32:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Wow.. - Tue Dec  1 10:32:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: And you still have to be deemed as a traitor? - Tue Dec  1 10:32:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: The people I will be staying with have to believe I really left Kumo. - Tue Dec  1 10:33:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I didn't even tell my brother. - Tue Dec  1 10:34:27 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Which was so hard. - Tue Dec  1 10:34:27 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) closed his eyes and bites down on his lower lip. "Ohhh," he murmurs.* - Tue Dec  1 10:35:18 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Tue Dec  1 10:36:09 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Something he just thought that he doesn't want to say. - Tue Dec  1 10:36:09 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: fix please - Tue Dec  1 10:41:16 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) sighed. "My mind won't sway."* - Tue Dec  1 10:42:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You just thought of something, what was it? - Tue Dec  1 10:42:59 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: The possibilities. - Tue Dec  1 10:45:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Of me becoming a traitor? - Tue Dec  1 10:46:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Of them kiling me for it? - Tue Dec  1 10:46:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: No.. Something more selfish. - Tue Dec  1 10:46:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What was it? - Tue Dec  1 10:46:24 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) sighed, brings his hands to his face and rubs over his entire visage.* - Tue Dec  1 10:47:15 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Who do I have left? - Tue Dec  1 10:47:15 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I barely have 'me'. - Tue Dec  1 10:47:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Tue Dec  1 10:47:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: He wants me to say 'you have me'. - Tue Dec  1 10:48:06 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I'm proud of you though. - Tue Dec  1 10:48:57 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Do what you have to do. - Tue Dec  1 10:49:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... I am not a traitor... I just told you... I'm going to be working for the kage... no one will just not know but you. - Tue Dec  1 10:49:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I'm.. not saying that.. - Tue Dec  1 10:50:40 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I'm saying 'be careful' without getting all mooshy. - Tue Dec  1 10:50:40 2015
<br><br><font color=teal>*Petrova, Kana(Zoey-Lover) says: you still - Tue Dec  1 10:52:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ^ - Tue Dec  1 14:49:36 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) allowed her to fall asleep on the bed, placing her between his person and wall while he laid at the edge of the bed.* - Tue Dec  1 20:52:16 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) was laying on his back. He still was shirtless and still wore only his gym shorts. Both his arms are behind his head as a replacement for a pillow; he let Kariudo have that to herself. Sogeki's eyes slowly open and a low yawn is given. From instincts, he'd got to roll over but quickly caught himself before he fell off the bed, "Oh shi-!"* - Tue Dec  1 21:02:30 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) blinked a few times. Just as he was about to go tumbling down he was saved by a set of arms. He looks around at Kari and gave her a thumbs up, "alright.. I owe you one. Again." * - Tue Dec  1 21:05:55 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) frowned, "and to think I was getting used to you sleeping in the same bed as me.~"* - Tue Dec  1 21:14:27 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...yeah, that was an accident. - Tue Dec  1 21:16:09 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Oh. - Tue Dec  1 21:19:34 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Well excuuuuuuse me. - Tue Dec  1 21:20:25 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) sat up.* - Tue Dec  1 21:20:25 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) slowly shook his head, "no. Definitely not, but hey.."* - Tue Dec  1 21:24:41 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hmph... - Tue Dec  1 21:24:41 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: This situation sucks. - Tue Dec  1 21:24:41 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) scratches the back of his head and sighed. "Oi, no worries. I shouldn't have answered that.. Sorry."* - Tue Dec  1 21:28:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Nah I asked, I always want you to tell me the truth. - Tue Dec  1 21:31:31 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Who would've tought.. - Tue Dec  1 21:34:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: thought* - Tue Dec  1 21:34:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: It'd take an asswhooping for me to realize so much. - Tue Dec  1 21:34:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Heh... - Tue Dec  1 21:36:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You were not telling the truth before? - Tue Dec  1 21:36:38 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I've.. told you the truth about everything. - Tue Dec  1 21:37:29 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I mean other than when I'm joking around and you picked up on it. - Tue Dec  1 21:38:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Ah. - Tue Dec  1 21:38:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: But.. yeah.. complete honesty. - Tue Dec  1 21:38:20 2015
