<br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Yeah. - Tue Oct  6 19:46:33 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Gah, Kojiro did a bad thing to fight my brother. Oh, well.  - Tue Oct  6 20:17:16 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Of course. . .I'll try to get you some mochi too. . . - Tue Oct  6 20:22:24 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Okay, then. Where too. - Tue Oct  6 20:24:57 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Gonna go train my techniques. - Tue Oct  6 20:25:48 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Oh. - Tue Oct  6 20:26:40 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . ? Who be you? - Tue Oct  6 20:51:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Not important. - Tue Oct  6 20:52:16 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) would quickly scurry over towards her older brother with exteme worry. . a hateful glare is sent towards Maloth's way before returning her attention back to Kojiro.* - Tue Oct  6 20:59:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Tue Oct  6 21:04:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Hello Hideki. - Tue Oct  6 21:05:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yo. - Tue Oct  6 21:07:37 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Been awhile, Sabo. - Tue Oct  6 21:07:37 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Indeed. - Tue Oct  6 21:07:37 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: This Gene...She'll be mine. - Tue Oct  6 21:07:37 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: Are you a medic? I happen to have a medical problem... - Tue Oct  6 21:11:02 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Huh. . ? - Tue Oct  6 21:11:53 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) blinks.* - Tue Oct  6 21:11:53 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: You see I've got this problem in my pants... - Tue Oct  6 21:12:44 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Pardon? - Tue Oct  6 21:13:36 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: ... - Tue Oct  6 21:13:36 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: Please confirm if you're a medic before I continue on... - Tue Oct  6 21:14:27 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers:  I am. .  - Tue Oct  6 21:14:27 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: Alright, well, I've got this throbbing feeling in my pants but I can't seem to quell it... - Tue Oct  6 21:15:18 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: Any reccomendations or medicine you can administer? - Tue Oct  6 21:15:18 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Really? Did you have any past probems with this? - Tue Oct  6 21:15:18 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: No, It just recently started. - Tue Oct  6 21:16:09 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: When exactly? - Tue Oct  6 21:17:00 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: Roughly three minutes prior to our interaction. - Tue Oct  6 21:17:00 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers:  Eh. . . ? - Tue Oct  6 21:17:52 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: Well...Are you able to help me? - Tue Oct  6 21:18:43 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Uhm. . I think? - Tue Oct  6 21:18:43 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: It might be a psychological problem. - Tue Oct  6 21:18:43 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Your brain must be thinking of something extremely lewd. - Tue Oct  6 21:18:43 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: .... - Tue Oct  6 21:18:43 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: That would be a first. - Tue Oct  6 21:19:34 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Really? You've never had that reaction? - Tue Oct  6 21:19:34 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: Never. - Tue Oct  6 21:19:34 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: It usually happens when the opposite sex is attracted. - Tue Oct  6 21:19:34 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: I see... - Tue Oct  6 21:19:34 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: Then I suppose that means I must be attracted to you...? - Tue Oct  6 21:20:25 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Do you think I'm attractive or something. . . ? - Tue Oct  6 21:20:25 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: ---- - Tue Oct  6 21:20:25 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: -- - Tue Oct  6 21:20:25 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: This is awkward. - Tue Oct  6 21:20:25 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: This is weird. - Tue Oct  6 21:20:25 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: It seems so... - Tue Oct  6 21:21:16 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: . .  I'm flattered. - Tue Oct  6 21:22:08 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: ...Well... - Tue Oct  6 21:22:59 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: I'm afraid I've no idea what to say or do now... - Tue Oct  6 21:22:59 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Me too. - Tue Oct  6 21:22:59 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: ...I see. - Tue Oct  6 21:24:41 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) scratchs her cheek lightly.* - Tue Oct  6 21:26:24 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: I've never been at a loss of words before... - Tue Oct  6 21:26:24 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: A queen, huh. - Tue Oct  6 21:26:24 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: What is attractive about me to you. . ? - Tue Oct  6 21:27:15 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: I suppose, your appearance and the gentle presence you bring. - Tue Oct  6 21:28:06 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: O-oh. . . - Tue Oct  6 21:28:06 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Well. .  you look cool. . - Tue Oct  6 21:30:40 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: I...Thank you. - Tue Oct  6 21:31:31 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Uh-huh. . . . - Tue Oct  6 21:32:22 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: This is so awkward. . . - Tue Oct  6 21:32:22 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: So....Would you like to do something? - Tue Oct  6 21:33:13 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) thinks: It's still not gone... - Tue Oct  6 21:33:13 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Sure! - Tue Oct  6 21:34:04 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: Alright. Anything specific you wanna do? - Tue Oct  6 21:34:56 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Uhm. . . - Tue Oct  6 21:35:47 2015
<br><br><font color=teal>*Reguel(Airide) says: That's a horrible cough. - Tue Oct  6 21:35:47 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Do you really wanna fix that problem? - Tue Oct  6 21:36:38 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: Yes. - Tue Oct  6 21:36:38 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) takes Sabo's hand and took him away!* - Tue Oct  6 21:36:38 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) would sit down on the edge of the bed.* - Tue Oct  6 21:37:29 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) would stare at Sabo, and then his pants.* - Tue Oct  6 21:39:12 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Uh, let me see it? - Tue Oct  6 21:39:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: --- - Tue Oct  6 21:39:12 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) stared deeply at his genitalia. . examining it from her position. "Huh. . well there isn't really any abnormal problems it seems. .It's just that you're extremely attracted to me. . or rather, horny for me? " She'd blink several times, putting her hands on her lap.* - Tue Oct  6 21:42:36 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: It's huge. - Tue Oct  6 21:43:28 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: So...This is normal? I won't die? - Tue Oct  6 21:43:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Nope! - Tue Oct  6 21:43:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Just a normal thing for boys. - Tue Oct  6 21:43:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Uh. . there's several ways. - Tue Oct  6 21:45:10 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: One is to stop thinking of lewd thoughts. - Tue Oct  6 21:45:10 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: --- - Tue Oct  6 21:45:10 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Two is to Ejaculate. - Tue Oct  6 21:45:10 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ...That's it? - Tue Oct  6 21:46:01 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Uh.  . . - Tue Oct  6 21:46:52 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: There's other ways. . but I don't know if those are of comfort - Tue Oct  6 21:47:44 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ...Other ways? - Tue Oct  6 21:47:44 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . Yes. - Tue Oct  6 21:47:44 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Inform me. I'd like to see my options. - Tue Oct  6 21:48:35 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: Mental dice. - Tue Oct  6 21:49:26 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Wellllll. - Tue Oct  6 21:49:26 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'll give you a proposal. - Tue Oct  6 21:49:26 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Proposal...? - Tue Oct  6 21:49:26 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Uh-huh, it's clear you're attracted to me and stuff. .so - Tue Oct  6 21:50:17 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I've always wanted to be treated like a queen, you know?  - Tue Oct  6 21:51:08 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .....I assume...you want me to treat you like a queen? - Tue Oct  6 21:52:00 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) | Genesis started to grow closer to Sabo, tender gentle hands slithered onto his chest, a hand started to wrap around his genital, lips inchs apart from the two. " Hehe. .  Bingo. Like a Queen, they have their own people that they tend to. . . and they listen to the Queen's orders in response. . . .  I'll let you fuck me. . . . and in return you listen. . . How does that sound, I'm sure that'd fix your problem down there. . besides. . your enormous cock is so tempting, I couldn't stop thinking about it the second you pulled your pants down." Her tone, her facial expression. . they were all lustful. . the curiosity of pleasure, it is a strange, but wonderful thing. * - Tue Oct  6 21:54:33 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) (*Yamanshi, Genesis | Genesis started to grow closer to Sabo, tender gentle hands slithered onto his chest, a hand started to wrap around his genital, lips inchs apart from the two. " Hehe. .  Bingo. Like a Queen, they have their own people that they tend to. . . and they listen to the Queen's orders in response. . . .  I'll let you fuck me. . . . and in return you listen. . . How does that sound, I'm sure that'd fix your problem down there. . besides. . your enormous cock is so tempting, I couldn't stop thinking about it the second you pulled your pants down." Her tone, her facial expression. . they were all lustful. . the curiosity of pleasure, it is a strange, but wonderful thing. *)* - Tue Oct  6 21:57:07 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) smiled gleefully. Her hand started to rub on his mighty member. . . while her lips locked into a passionate kiss, her free hand reeled away from his chest, and onto her own set of clothing to prepare to take them off. . .tongues intertwined, her mind going crazy. Heat just rising for the start of such . . . sexual activities that the duo are to engage in.

"I want you to fuck me hard. . . fuck me with your giant cock. . . destroy me, please." 

-Blackscreen no jutsu-* - Tue Oct  6 22:03:56 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) breathed heavily. . sweaty, but in the realm of extreme pleasure. A final, deep kiss given to Sabo. "Aue. . . It felt so good to get plowed by you. . . I think I'm falling in love with you, and your splendid cock. . . " Arms wrapped around Sabo to embrace him, bare chest rubbing against his own. "I wanna get fucked by you over and over. . .  .  don't you love how this feels? " Questioning her intercourse partner.* - Tue Oct  6 22:12:28 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Exactly. . . This feeling is like no other. . nothing can rival this. - Tue Oct  6 22:15:53 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Indeed...How else can I pleasure my queen...? - Tue Oct  6 22:16:44 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I want to be an important queen like no other in history. . . No one that can resist me, and my words. . my word able to sway any, and bring them to their knees. . The knowledge to repair which that has been broken. .  I desire so many things, but I'm so weak all alone. . - Tue Oct  6 22:20:09 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Little ol' me can't do anything all by myself. . . - Tue Oct  6 22:20:09 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Well...I'll do whatever it takes to fulfill your desires, since you've fulfilled mine. - Tue Oct  6 22:22:43 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) starts to tear up, a single finger comes off to wipe the tears. "I'm so lucky to have such a sexy, and strong warrior that'll follow me. . that'll serve me. . I've been blessed by the heavens."* - Tue Oct  6 22:23:34 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) rested her head against Sabo. "Maybe we should clean ourselves up?"* - Tue Oct  6 22:26:59 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: We should. Afterall, that was quite a work out... - Tue Oct  6 22:29:32 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Yup. .  lets shower together? - Tue Oct  6 22:30:24 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I like the sound of that. Let's. - Tue Oct  6 22:30:24 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) nodded happily, soon getting up, and leading her partner to the bathroom. She'd slide open the shower doors, and walts inside alongwith Sabo. . turning on the water. . she'd start to bathe and whtnot. Chest grinding up against the swordsman.

"You know. . I've never got fucked in the shower before.  "* - Tue Oct  6 22:32:57 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) 's hands gently planted on Sabo's cheeks, prolonging the kiss. A soft moan seeped out from her lips. "Then make my pussy feel good again. . . I'm already wet. . ." Thus the acceptance of another session is underway.

-blackscrn-* - Tue Oct  6 22:39:47 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) | With the water still raining down on the two, they'd be able to successfully clean themselves in no time. "Fucking in the shower did feel good afterall. . . " Once she was done washing herself up, she'd obtain a towel to dry herself and put her own clothing back on.

"Oh. . you shouldn't really tell anyone we've done this. . . the thrill of making sure no one knows of this as we fuck just makes it ten times better."* - Tue Oct  6 22:45:45 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) nods. "Great! Shall we be off then?"* - Tue Oct  6 22:49:10 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Of course. - Tue Oct  6 22:49:10 2015
<br><br><font color=teal>*Caillou(Reddestror2) whispers: (okay so fuk that dude, what up wit u? u like bald guys?) - Tue Oct  6 22:52:35 2015
<br><br><font color=teal>*Caillou(Reddestror2) whispers: (im dying) - Tue Oct  6 22:52:35 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) whispers: (nigga i can see ur whispers) - Tue Oct  6 22:52:35 2015
<br><br><font color=teal>*Caillou(Reddestror2) whispers: (nigga i aint talkin to you) - Tue Oct  6 22:52:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: So. - Tue Oct  6 22:56:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What are you doing Suitengu? - Tue Oct  6 22:56:00 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ... - Tue Oct  6 22:56:00 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . . . - Tue Oct  6 22:56:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm also trying to sell it. - Tue Oct  6 22:56:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: No one has enough for it though. - Tue Oct  6 22:56:51 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Hmm? - Tue Oct  6 22:56:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Selling it for Seventy-Five Million. - Tue Oct  6 22:56:51 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: That's quite a sum.. - Tue Oct  6 22:56:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I believe it's worth it. - Tue Oct  6 22:57:42 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Shame, I don't have enough on me at the time. - Tue Oct  6 22:57:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Care to release me? - Tue Oct  6 22:57:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: This is quite, uncomfortable4. - Tue Oct  6 22:57:42 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: You do know how hard of a man you are to find. - Tue Oct  6 22:57:42 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: What are you guys doing to my brother? - Tue Oct  6 22:57:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I try. - Tue Oct  6 22:57:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It's definately. - Tue Oct  6 22:57:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: My goal. - Tue Oct  6 22:57:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Also, You have nice eyes, Midget-kun. - Tue Oct  6 22:58:33 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Do you mean something by that? - Tue Oct  6 22:58:33 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I mean. - Tue Oct  6 22:58:33 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Sabo. - Tue Oct  6 22:59:24 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Rinnegan. - Tue Oct  6 22:59:24 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: omit - Tue Oct  6 22:59:24 2015
<br><br><font color=teal>*Lyan, Bryson(Psychic_Warrior) says: In god's name, I implore you to stop! - Tue Oct  6 23:00:16 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) observed the entire situation with crossed arms.* - Tue Oct  6 23:10:30 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: famz0 - Tue Oct  6 23:12:12 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) proceeds to depart.* - Tue Oct  6 23:12:12 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: Only two things in this world.. loyalty, and honesty.. Loyalty to one another and loyalty to my cause. Honesty to the ones I'm loyal too.. and honesty to my cause. Seisuke was neither of those.. The sad truth of this world, it must be changed. - Wed Oct  7 01:00:35 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) left once more.* - Wed Oct  7 01:05:42 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) activates rinnegan.* - Wed Oct  7 01:13:23 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: no pain - Wed Oct  7 01:13:23 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: omit - Wed Oct  7 01:13:23 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) watched the whole thing and stuff, this is saddening.* - Wed Oct  7 01:17:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Let's go, Heiwa. - Wed Oct  7 01:18:30 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...Okay. - Wed Oct  7 01:18:30 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Touch that body. - Wed Oct  7 01:18:30 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And this Mangekyo - Wed Oct  7 01:18:30 2015
<br><br><font color=teal>*Hideki(Assassin241) says: going in your ass - Wed Oct  7 01:18:30 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Wed Oct  7 01:18:30 2015
