<br><font color=teal>*Kuro(Ichigo10101) says: Sure. I don't see any harm in doing so. - Sun Nov  8 00:11:56 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) eyes her for a moment with the extension of her hand, switching his bright green  hues down to the hand which remain unattended to. He hesitated for a moment, though within the next second, he had returned teh gesture. "I am Yan. It's nice to see more people investing their time in learning how to keep people alive rather than dead. I am interested in the field myself." He noted. He didn't want to be a full on medic, but practicing the basic ninjutsu would allow him to be more versatile in his ability to serve his village in battle.* - Sun Nov  8 00:34:08 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ..Where are..The others? - Sun Nov  8 00:46:04 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Others?  - Sun Nov  8 00:46:04 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) eyes her for a moment with the extension of her hand, switching his bright green  hues down to the hand which remain unattended to. He hesitated for a moment, though within the next second, he had returned teh gesture. "I am Yan. It's nice to see more people investing their time in learning how to keep people alive rather than dead. I am interested in the field myself." He noted. He didn't want to be a full on medic, but practicing the basic ninjutsu would allow him to be more versatile in his ability to serve his village in battle* - Sun Nov  8 00:46:56 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Yes..Others.. - Sun Nov  8 00:50:20 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Haha, I couldn't understand any of that complex body stuff. - Sun Nov  8 00:50:20 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: .... - Sun Nov  8 00:55:28 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Bored - Sun Nov  8 00:55:28 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) nodded, happy to hear the thought as most medics were quite unenthusiastic about helping him with the subject. "Yeah, I'd definitely like that." He replied, peering behind her towards Chikyu. "It's pretty much over my head too, but if I can learn something, I'd be happy." He noted, giving off a shrug as his hand returned back to his side.

"By the way, Koji and I are throwing a party at our house this friday. You two coming?" He'd ask.* - Sun Nov  8 00:55:28 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) thinks for a moment before answering. "We are going to have alot of sake, a little smoke and hopefully some good music," he stated. "Just to let everyone get in the same room and hopefully have a good time." He added. * - Sun Nov  8 01:02:17 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Aren't they a little young for sake? - Sun Nov  8 01:03:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Uh, north-east district. Bottom-right house. I mean, you have to be fifteen to come with the alcohol and all. Koji will kill me if someone's underage and drinks..He's the commander of the desert owls. - Sun Nov  8 01:04:51 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ... fifteen is the drinking age? ... that change recently or something? - Sun Nov  8 01:05:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Well, I don't know. It's been that way since Hassan's been in charge. - Sun Nov  8 01:05:42 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Huh, that's cool I guess. - Sun Nov  8 01:08:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Seems to be if someone is old enough to die as a shinobi. - Sun Nov  8 01:08:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: They are old enough to enjoy themselves in their off time. But I mean, to each their own. - Sun Nov  8 01:09:07 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ....that makes sense, but terrible for the growth in the brai--...I'm going to just stop myself there. - Sun Nov  8 01:09:07 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) shrugs. "I can understand skepticism from a medical standpoint." He'd reply. He knew the risks himself. He wasn't one to drink often, but he enjoyed marijuana and unless it was made illegal, he didn't plan on stopping.* - Sun Nov  8 01:10:49 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Ehh... I don't know. - Sun Nov  8 01:14:14 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: .. Wow.. someone killed her inadvertently..? - Sun Nov  8 01:15:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd like to see you there, Chikyu...At any rate, you owe me a spar sometime. - Sun Nov  8 01:15:05 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Yeah, I guess I do. How bout tomorrow, I'll keep my schedule free just for you. - Sun Nov  8 01:16:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Eh, sure. - Sun Nov  8 01:16:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm busy everyday, but I always find time to spar my fellow suna-nin. - Sun Nov  8 01:16:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tomorrow sounds good. - Sun Nov  8 01:17:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I also need to find Sanoke..we have some training to do as well. - Sun Nov  8 01:18:30 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hmm... a party never been to one before... - Sun Nov  8 01:21:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yo'. - Sun Nov  8 01:30:27 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji! - Sun Nov  8 01:30:27 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..... - Sun Nov  8 01:30:27 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's up, man? - Sun Nov  8 01:30:27 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) extends his fist for dap purposes.* - Sun Nov  8 01:31:18 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Oh, that's Koji. - Sun Nov  8 01:31:18 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: I thought he was talking about a female. - Sun Nov  8 01:31:18 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) thinks: Oh thats Koji. *cricket noises* - Sun Nov  8 01:32:09 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah...I remember you had alot on your plate.  - Sun Nov  8 01:33:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Are you satisfied with the Trilliam situation? - Sun Nov  8 01:33:00 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Meh, It's better than putting him in a medical insitution... Better than death as well. The people of Sunagakure seems to appreciate it. - Sun Nov  8 01:33:52 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Koji..... could you show me a thing or two sometime around..? - Sun Nov  8 01:34:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fair...Uh, this is Kiyoko and Chikyu...I invited them to our party this friday. - Sun Nov  8 01:35:34 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hi there! - Sun Nov  8 01:35:34 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Like I said, Koji is an accomplished ninja..Head of the Desert Owl police force. - Sun Nov  8 01:36:25 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And he's my roommate. He's a good guy. - Sun Nov  8 01:36:25 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: It was worth a try. - Sun Nov  8 01:36:25 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ... - Sun Nov  8 01:44:57 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Hassan.. - Sun Nov  8 01:44:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Well we try to make sure you guys work as little as possible. I dont know how well that's going. - Sun Nov  8 01:59:28 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Hm? - Sun Nov  8 02:06:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: She seems like a pretty sweet girl. - Sun Nov  8 02:07:08 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) looks back towards Mizora. She was murmering, so he heard a faint noise yet he did not know what she had said. He quickly fixed his eyes back on Koji and Kiyoko before noticing Bryson station to his side. "Yo'..."* - Sun Nov  8 02:09:42 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Brother Yan, any new developments today? - Sun Nov  8 02:10:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Pretty peaceful. - Sun Nov  8 02:10:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I wish I could find someone to spar though. - Sun Nov  8 02:10:33 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Thats a relief - Sun Nov  8 02:10:33 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Is anyone on you level? - Sun Nov  8 02:11:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Huh? - Sun Nov  8 02:11:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Your pretty strong... I dont think many can keep up with you - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Um... I could spar you.... but that's if you want.. - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Then again... - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You are not a trustworthy ninja to me. - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I know... - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Bryson, I'm nothing special. - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Not in my opinion - Sun Nov  8 02:13:07 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) pats him on the back. "Thanks man. So what have you been up to?" He'd question as he pondered upon the Hyuuga. A minute sense of regret was felt for treating her like that, and yet, her very existence here needed to be justified by her merit and not Sanoke's. He didn't except her status, not at the moment.* - Sun Nov  8 02:13:58 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Funny Yan... I told you the same thing when I first met you - Sun Nov  8 02:15:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Oh? Well, seems to make sense. - Sun Nov  8 02:17:23 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Im good, being a doctor... being a priest... sensing evil... the usual - Sun Nov  8 02:17:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Cool, cool. - Sun Nov  8 02:17:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I need a medical ninja to teach me this damned medical technique. - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I can't get the time of day with Zenaki. - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Ask.... Reguel - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Maybe you and I can make some sort of trad-- - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I haven't seen him since yesterday. - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd be happy to work something out with you, Kiyoko. - Sun Nov  8 02:21:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I like you more than Reguel anyways..he's a bit annoying. - Sun Nov  8 02:21:39 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh, your a medic Kiyoko? - Sun Nov  8 02:21:39 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Mhm. - Sun Nov  8 02:21:39 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: He is rather.... hard to deal with... - Sun Nov  8 02:22:30 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Thats great another medic in Sunagakure... welcome... you will make another addition to the corps. As long as you actually learn medicine - Sun Nov  8 02:23:21 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I was a nurse before becoming a shinobi, they got tired of me not being qualified for certain tasks and had me get certified as a shinobi. - Sun Nov  8 02:25:04 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I think Im the only medic with more than one healing technique, its poison this and  chakra punch that, quite annoying - Sun Nov  8 02:25:55 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: That doesn't really sound like my ... area. - Sun Nov  8 02:25:55 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I'm more for healing. - Sun Nov  8 02:25:55 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Great I would love to have your help, but Icant teach you anything because im a  Cleric. Not your basic medic - Sun Nov  8 02:26:46 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I'm not a basic medic either really, but that's good to know. I figured you couldn't teach me. - Sun Nov  8 02:27:37 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) pondered on what he could present to Kiyoko. If she wasn't offensively-geared, then he would have to think of one of his supplementary techniques.* - Sun Nov  8 02:28:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sanoke....about that training you said you'd give me. - Sun Nov  8 02:29:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Could you pass me something to study on it? - Sun Nov  8 02:29:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? Fuuinjutsu? - Sun Nov  8 02:29:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah. - Sun Nov  8 02:29:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Do you know the basic seal yet? - Sun Nov  8 02:30:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Nope, I'm clueless. - Sun Nov  8 02:30:11 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) (*Hokuma, Koji expression would remain the same. He doesn't like being called the White eyed Devil. His eyes could see all, but show little of his expression, but that was not the same for his smile. He figured it helped, so he kept it up.// 

"I''m only thirteen haha, I have another year to go. It's one of Hassan's new rules as the KazeKage. But, the doctor should be "insert who ya want" very well known individual from what i understand." *)* - Sun Nov  8 02:40:25 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: His eyes are particular to people that have the same doujutsu as him. - Sun Nov  8 02:44:41 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Those are the eyes of the Hokuma clan, but the do have puplies  - Sun Nov  8 02:45:32 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: family* - Sun Nov  8 02:45:32 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: How....strange. - Sun Nov  8 02:47:15 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Doujutsu. - Sun Nov  8 02:47:15 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: If you would like to know no more about them they dont know much other than its a family thing... Believe me I have tried - Sun Nov  8 02:49:48 2015
<br><br><font color=teal>*Test(Booty Eater) says: I'm going to eat everyone's ass - Sun Nov  8 02:50:40 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) watched Sanoke as he approached, conjured the mentioned scroll and would utilize an advanced technique of fuuinjutsu that allowed him to write seals with his hand. He figured it was higher tier, and when Sanoke presented it, his words only reinforced that as he would have to use pen and paper. It wasn't something he would learn, just yet, if at all.

Yan would take it, nodding politely. He had been on a different page as of late, but Yan respected Sanoke as a ninja that ultimately wanted the better for Sand. That wasn't someone Yan could condemn. On top of that, he was a man of his word.

"Right..Thanks." He said as he tucked the scroll into his satchel.* - Sun Nov  8 02:50:40 2015
<br><br><font color=teal>*Test(Booty Eater) says: With the Eternal Tsukiyomi in my hands. - Sun Nov  8 02:50:40 2015
<br><br><font color=teal>*Test(Booty Eater) says: That ass is mine. - Sun Nov  8 02:50:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hello everyone. - Sun Nov  8 02:59:12 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hi Iza - Sun Nov  8 02:59:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: HOw is everyone? - Sun Nov  8 03:01:45 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Pretty good - Sun Nov  8 03:01:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I appreciate this, Sanoke. - Sun Nov  8 03:01:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And I appreciate your loyalty to Sand Village. - Sun Nov  8 03:01:45 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: ---<*Spots a Fuji*> - Sun Nov  8 03:19:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo, Fuji. Whatever happened to that kid that won your competition? - Sun Nov  8 03:19:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Index?.. Hm, well he's around...About.. - Sun Nov  8 03:20:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What competition? - Sun Nov  8 03:20:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hit me up when he's around. I want to see how overpowered you've made him. - Sun Nov  8 03:20:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Long ago, Fuji had a competition to take on a student. - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The Index kid came in first. - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yo - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: fuji got like - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: 8 students - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: M'kay? - Sun Nov  8 03:22:14 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: So, is anyone available to help me out? - Sun Nov  8 03:23:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: With what, bud? - Sun Nov  8 03:23:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm..I wouldn't say Over powered...There's just some abilities I can not teach people outside the family..Noriko was the only one to have obtained such from me..But I've taughtIndex other things.. - Sun Nov  8 03:24:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Seems legit. -- Oh, you and I should have a battle later too. I still want to see how much you've grown. - Sun Nov  8 03:24:48 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) yawns lightly and folds his arms. He paused for a moment, and in the absense of conversation, he'd reach into his satchel and grab Sanoke's scroll. He would run his hand along it before unraveling it, slowly taking in the information with a quick scan. Once he looked it over briefly, he would start at the first portion of information and read it more intently now. He would read the signs and how they were performed, or seals they would call it.* - Sun Nov  8 03:25:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Yes haha..I'll just have to go for now.. - Sun Nov  8 03:26:30 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Just some general fighting tips. - Sun Nov  8 03:28:12 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: For now, at least. - Sun Nov  8 03:28:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Well, we can spar. - Sun Nov  8 03:29:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm not that great at teaching, but if you study my way of fighting, maybe you can get something out of it. - Sun Nov  8 03:29:04 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Errr. - Sun Nov  8 03:31:37 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Ok, I guess. - Sun Nov  8 03:31:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *whistle* - Sun Nov  8 03:32:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Cool. Lead the way. - Sun Nov  8 03:33:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Hi... Mirai. - Sun Nov  8 03:36:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Evening. What is with the tone? - Sun Nov  8 03:37:36 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Tone..?? - Sun Nov  8 03:37:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Uh. Yousound disgruntled. - Sun Nov  8 03:38:27 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....Come on. - Sun Nov  8 03:39:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I know you are a taijutsu-user...is that correct? - Sun Nov  8 03:40:09 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: That's right but I hope to learn something in the ways of ninjutsu in the future. - Sun Nov  8 03:41:00 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) nods, forming a singular handseal. With his fingers working into place, chakra would be molded slowly as it was kneaded and expelled thereafter.

From the ground around Yan, the terrain animated in construction of several mud clones. "Well, I imagine for now this will help you be more fluent in taijutsu." He said, and with that, ten clones would rush forward towards Shokutsu. 

"Good luck," * - Sun Nov  8 03:42:43 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) approaches the area, having sparring the Kaguya, he was just arriving back into the centre of the village. He had no injuries that one could see.* - Sun Nov  8 04:25:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: How did it go? - Sun Nov  8 04:27:05 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: ..? - Sun Nov  8 04:27:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....... - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Note: don't mess with her. - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Erhm. - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Kill him... You should've killed him...  - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: -omit- - Sun Nov  8 04:33:04 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) thinks: Medic, noted. - Sun Nov  8 04:33:55 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm. - Sun Nov  8 04:33:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Man..Koji cock blocking me hard. - Sun Nov  8 04:39:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: I kinda feel out of place. I'm not much for small talk. - Sun Nov  8 04:44:09 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: Basicaly you are going to change the ions in the air and supply chakra something im more than sure your used to. - Sun Nov  8 04:56:06 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: I wonder when I should finish that training... Later - Sun Nov  8 04:56:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Huh...Have we met? I over-heard your name being Yoko. - Sun Nov  8 05:01:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I am Yan. - Sun Nov  8 05:01:13 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) thinks: I need to replenish my weapons. - Sun Nov  8 05:05:29 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) recieves the expression within the glance and simply nods. "Well, nice to meet yah then." He would head towards the north, opposite of where people were viewing and would pull out a blunt to smoke it. "Might as well..." He'd say to himself as he exhaled the smoke.* - Sun Nov  8 05:05:29 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: ? - Sun Nov  8 05:07:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *cough* - Sun Nov  8 05:08:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I need to figureout something to do.. - Sun Nov  8 05:08:03 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd offer to spar ya. - Sun Nov  8 05:08:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: But I just lit this blunt... - Sun Nov  8 05:08:54 2015
