<br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Rice Cake anyone? - Wed Oct  7 07:51:02 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I can't believe it... - Thu Oct  8 01:01:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: she does it all the time - Thu Oct  8 01:28:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: -Omit- - Thu Oct  8 01:28:19 2015
<br><br><font color=teal>*Lyala(BoyFlareon) whispers: You know. - Thu Oct  8 02:36:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Thu Oct  8 02:36:35 2015
<br><br><font color=teal>*Lyala(BoyFlareon) whispers: You don't know about .. pranks? - Thu Oct  8 02:36:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Uh.... - Thu Oct  8 02:36:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hi. - Thu Oct  8 02:36:35 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Hideki. - Thu Oct  8 02:36:35 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: Aye. - Thu Oct  8 02:36:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Ho- - Thu Oct  8 02:36:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah? - Thu Oct  8 02:36:35 2015
<br><br><font color=teal>*Maloth(Gtgoku88) whispers: Is need idea! - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Pretty sure Suitengu is dead. - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ...... - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Repeat? - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Pretty sure Suitengu is dead. - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: You're gonna wake up and work hard at... - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ..... - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Who killed him. - Thu Oct  8 02:37:26 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yan and Muhammed. Most likely. They went after him and the girl with Wings. - Thu Oct  8 02:38:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ............. - Thu Oct  8 02:39:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I escaped, they didn't seem like they were going to make it. - Thu Oct  8 02:39:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Is the girl with wings dead as well? - Thu Oct  8 02:39:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Tight.  - Thu Oct  8 02:40:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You can't kill them, Hideki. - Thu Oct  8 02:40:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I guess that will change. - Thu Oct  8 02:40:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I was not able to enter the village. - Thu Oct  8 02:40:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Dont try. - Thu Oct  8 02:40:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You'd be better off killing yourself. - Thu Oct  8 02:40:51 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: But, I won't stop you. - Thu Oct  8 02:40:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I just don't understand it. - Thu Oct  8 02:40:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Why would they kill Suitengu. - Thu Oct  8 02:40:51 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Oh, he killed Taiga. - Thu Oct  8 02:41:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: In the middle of Suna it would seem like - Thu Oct  8 02:42:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Who was with him, besides you, Baen? - Thu Oct  8 02:42:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: The paper girl - Thu Oct  8 02:43:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He just told ou. - Thu Oct  8 02:43:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You* - Thu Oct  8 02:43:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sorry, I'm clouded with rage right now. - Thu Oct  8 02:43:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: However, any idea where this paper girl went? - Thu Oct  8 02:44:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Not in the slightest - Thu Oct  8 02:45:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see... - Thu Oct  8 02:45:07 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Then I will plan ahead of time. - Thu Oct  8 02:45:07 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Alright. - Thu Oct  8 02:48:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So anyone? - Thu Oct  8 02:50:14 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Spar? - Thu Oct  8 02:50:14 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yes? No? - Thu Oct  8 02:50:14 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Maybe? - Thu Oct  8 02:50:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Not for me... - Thu Oct  8 02:51:05 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Think Lyala nee' spar! Figh' Lyala. - Thu Oct  8 02:51:56 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: -- - Thu Oct  8 02:52:48 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: What? - Thu Oct  8 02:52:48 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: I'm not sparring. - Thu Oct  8 02:52:48 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: O'. . Hrm. Maloth woul' spar, but wan' do things. When we go. . . <*looks from side to side*> - Thu Oct  8 02:52:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: .. - Thu Oct  8 02:53:39 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What? - Thu Oct  8 02:53:39 2015
<br><br><font color=teal>*Reguel(Airide) says: ... - Thu Oct  8 02:53:39 2015
<br><br><font color=teal>*Reguel(Airide) says: My thoughts exactly. - Thu Oct  8 02:53:39 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: It's just Misa and Sabo. - Thu Oct  8 02:53:39 2015
<br><br><font color=teal>*Reguel(Airide) says: From what I can translate, he doesn't want to spar. - Thu Oct  8 02:53:39 2015
<br><br><font color=teal>*Reguel(Airide) says: Why don't you find a sparring partner that's equal to you? - Thu Oct  8 02:54:30 2015
<br><br><font color=teal>*Hideki(Assassin241) says: A sparring partner? - Thu Oct  8 02:56:12 2015
<br><br><font color=teal>*Reguel(Airide) says: That's what I said. - Thu Oct  8 02:56:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ^ - Thu Oct  8 02:57:04 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: .. - Thu Oct  8 02:59:37 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You're acting like me and Sabo stay together forever. - Thu Oct  8 02:59:37 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ....Right. - Thu Oct  8 02:59:37 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You guys are usually together though, which is why I said that. - Thu Oct  8 02:59:37 2015
<br><br><font color=teal>*Caillou(Reddestror2) says: ... - Thu Oct  8 03:00:28 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Are we? - Thu Oct  8 03:00:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mhm. - Thu Oct  8 03:00:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: But follow me. - Thu Oct  8 03:00:28 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 03:03:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So spar? - Thu Oct  8 03:03:02 2015
<br><br><font color=teal>*Reguel(Airide) says: I'm going to go finish tutoring this kid. - Thu Oct  8 03:03:53 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What kind f spar. - Thu Oct  8 03:03:53 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Friendly one. - Thu Oct  8 03:05:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I need someone near my level Baen. - Thu Oct  8 03:05:36 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Oh. - Thu Oct  8 03:05:36 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I guess. - Thu Oct  8 03:05:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Thu Oct  8 03:09:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Heiwa. - Thu Oct  8 03:11:34 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Hm? - Thu Oct  8 03:11:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Come here boy. - Thu Oct  8 03:11:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I will teach you a genjutsu technique. - Thu Oct  8 03:11:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Would you like ot learn one. - Thu Oct  8 03:11:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Lets go somewhere else. - Thu Oct  8 03:12:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I wouldn't want other people caught up in it. - Thu Oct  8 03:12:25 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You're not going to touch me, right? - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Dad said strange people might do that. - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Where's the Raikage? - Thu Oct  8 04:01:04 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Right here. - Thu Oct  8 04:01:55 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Pretty sure you're not the Raikage. - Thu Oct  8 04:01:55 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You okay, Kaori? - Thu Oct  8 04:02:46 2015
<br><br><font color=teal>*Kaori(Coolm3) says: Hrm? Uh, yeah. - Thu Oct  8 04:03:37 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Good.. - Thu Oct  8 04:03:37 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Gonna see i the Raikage is up there. - Thu Oct  8 04:04:28 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ..... - Thu Oct  8 04:04:28 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Hm? - Thu Oct  8 04:05:20 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Niza is still - Thu Oct  8 04:06:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Tapping your sister - Thu Oct  8 04:06:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ? - Thu Oct  8 04:06:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: They have been going at it. - Thu Oct  8 04:06:11 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Heh. - Thu Oct  8 04:06:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: For a long time - Thu Oct  8 04:06:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Oh, damn...... - Thu Oct  8 04:06:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I needed a mission. - Thu Oct  8 04:06:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I would ask you to spar me but we both know how that will turn out. - Thu Oct  8 04:07:02 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Tch. - Thu Oct  8 04:07:02 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I aim to please. - Thu Oct  8 04:08:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And that Maloth guy. - Thu Oct  8 04:08:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He did not spar me - Thu Oct  8 04:08:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I was being sarcastic Idiot N/1 - Thu Oct  8 04:10:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: N.1* - Thu Oct  8 04:10:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Huh? - Thu Oct  8 04:16:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: None of your concern Idiot N.1 - Thu Oct  8 04:17:16 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Thu Oct  8 04:27:31 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Five.. Six.. - Thu Oct  8 04:27:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: ... - Thu Oct  8 04:29:13 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Well you enjoy that. - Thu Oct  8 04:29:13 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: This man! He's more depressing than my love life! - Thu Oct  8 22:37:13 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: (If this nigga Hideki starts losing I want you to take me as far away from the village as possible. Nigga this no joke.) - Thu Oct  8 22:38:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hey, Hideki. - Thu Oct  8 22:48:19 2015
<br><br><font color=yellow>*Ossa, Baen(Ama No Murakumo) Turned around and watched ths niggas go at it. * - Thu Oct  8 22:50:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Teach me everything you know. - Thu Oct  8 22:57:42 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Please. - Thu Oct  8 22:57:42 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You based god. - Thu Oct  8 22:58:33 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: *bows* - Thu Oct  8 22:58:33 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: ....Enough. - Thu Oct  8 23:02:49 2015
<br><br><font color=yellow>*Ossa, Baen(Ama No Murakumo) whistled lightly as he approached the group, two of whom had just lost control of their bowels and bladders, which in a way was hilarious, but more serious matters. 

He'd attempt to approach Shinjin, his right hand elevated and fingers flexing compulsively. "Well. Who the fuck are you. Attacking my Juniors.~" naturally, he had no juniors, those niggas probably didn't fuck with him at all. But Baen was just a real ass nigga and said what he wanted when he wanted. Got a problem? Want to figh- *cough*. He'd then stand and watch. * - Thu Oct  8 23:05:23 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Who the fuck am I? - Thu Oct  8 23:06:14 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: A good question. - Thu Oct  8 23:06:14 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Better have a good answer. - Thu Oct  8 23:06:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 23:07:05 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: That was...less impressive than I thought it would be... - Thu Oct  8 23:07:05 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: He's a real nigga. - Thu Oct  8 23:09:39 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: Hideki seems okay. - Thu Oct  8 23:12:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: He only pissed himself. - Thu Oct  8 23:12:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: I should leave. - Thu Oct  8 23:12:12 2015
<br><br><font color=yellow>*Ossa, Baen(Ama No Murakumo) raised his eyebrow's as the corners of his lips stretched downward. "Boredom, Interesting." He'd take a step forward and wag his finger in the boy's face. "What village are you from, child." Shinjin clearly wasn'y a child but Baen just disrespectful. * - Thu Oct  8 23:12:12 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Wasn't that village destroied by that beast? - Thu Oct  8 23:13:04 2015
<br><br><font color=yellow>*Ossa, Baen(Ama No Murakumo) fired a bone bullet from his waging finger aiming to hit Shinjin square in the throat. He seemed like a durable fuck so he might live to tell the tale, but if he didn't well that's just life. However, after that display, Baen was sure he would do something cool, and that's really what all this was about. * - Thu Oct  8 23:17:20 2015
<br><br><font color=yellow>*Ossa, Baen(Ama No Murakumo) smirked devilishly before lowering his hand like he had holstered a pistol. "Me? Baen of the Ossa? Nooo, couldn't be~"* - Thu Oct  8 23:21:36 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Psst. - Thu Oct  8 23:25:00 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Sword-guy. - Thu Oct  8 23:25:00 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Wanna see a magic trick? - Thu Oct  8 23:25:00 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Thu Oct  8 23:25:00 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Well? - Thu Oct  8 23:25:52 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Continue. - Thu Oct  8 23:26:43 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: And I'll sever your thumbs. - Thu Oct  8 23:26:43 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: With a piece of paper. - Thu Oct  8 23:26:43 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Hm. - Thu Oct  8 23:26:43 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Does nobody like magic tricks..? - Thu Oct  8 23:26:43 2015
<br><br><font color=yellow>*Ossa, Baen(Ama No Murakumo) had a number of internal defense supporting him at this point and as the fist was unleashed in his general area he'd maintain his stance, allowing the fist to strike  his face. His body, however, failed to move or budge. After the display he'd raise his hand to lower Shinjin's arm. 

"You're a bit lacking, chief. Nice show.* - Thu Oct  8 23:27:34 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: with indestructible genes - Thu Oct  8 23:27:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 23:28:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Sabo. - Thu Oct  8 23:28:25 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Takeda. - Thu Oct  8 23:28:25 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) thinks: So that guy's name is sab-o. - Thu Oct  8 23:28:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Have you seen Suitengu around? - Thu Oct  8 23:28:25 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) thinks: And he is..Takeda...hmmm. - Thu Oct  8 23:28:25 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: He's dead. - Thu Oct  8 23:28:25 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Died yesterday. - Thu Oct  8 23:28:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I haven't seen him in like a we- - Thu Oct  8 23:28:25 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Suitengu's dead, yep. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Magic tricks aren't as youthful as training. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: .......................................................... - Thu Oct  8 23:29:16 2015
