<br><font color=yellow>*Bernadotte(Iron Zorro) laughed even more "So the prude did get offendend which is kind of cute, it really brings out your features." he commented as she was pushed against the wall again. Using both of his hands he aimed to push her away "I will talk about what I want, when I want and however I want you understand me? I do not need you telling me what I can or can't do because the only one that can do that is my Lord Lucifer so I would suggest you stop barking noise and start falling into place as you are in the presense of a superior being." 

If he had successfuly manage to push her away he would move foward bringin his right arm up to grab at her neck aiming to push her against the opposite wall of where he had been pushed "Now here is how things will work from here on out. One, I will stop commenting about your graverobbing anticts while we are in public. Two, we are stuck here together so I suggest you stop being the prude you are and start being nicer to me as dictated by my lord. Three, enough of your supperiority complex as we both know that you are nothing more than simple trash compared to a superior being like me." he would lean in closer to her "Is that understood?" he asked her with a harsh tone of voice.* - Tue Sep 29 16:40:57 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) kept his right hand against her neck and was going to let go when he heard her comment that belittled his Lord. Reaching over with his left hand to unsheeth his blade he would point it at her left eye "Jashing reigns supreme? HA! Don't make me laugh, my Lord Lucifer is the one that reigns supreme above all else. Jashin is a mere peasant compared to him and do not think I do not notice the sarcasm in your voice. Either you start treating me like the superior being that I am or there will be consecuences graverobber."* - Tue Sep 29 16:59:44 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) released her and sheethed his blade as he was nudged away. "I would be invading more than your personal space but there is that corpse you need to loot so get going."* - Tue Sep 29 17:06:33 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) raised a brow "Hmm? The prude is asking me to show her my dick. Now that is something that you do not see every day." he commented amused by the development that was happening before her. He would bring his right hand down to unhinge his right blade from his belt and attempted to thrust it into the girls stomatch. Since the blade was had not been unsheeth she was in no danger as to get stabbed by it since he was not about to kill someone he knew from his home village but he would inflict pain upon her since he had challenged him to something that his Lord encouraged.

Assuming the hit had gone off without a hitch he would being his left hand up to grab and pull her by the hair with intentions of throwing her against a bed "Be careful for what you wish for graverobber~ It might just come true." he would tease at her as he quickly followed after her to pin her down against the bed leaving the Katana he had used to hit her on the floor since at the moment his focus was on something else more important than his blade.* - Tue Sep 29 17:20:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I want to learn fire techniques. - Tue Sep 29 19:13:42 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: What do you know? - Tue Sep 29 19:13:42 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: So far. - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: To flare up my arrow, that is all. - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Chakra flow? - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Indeed. - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Then, I suppose it's time I teach you something new. - Tue Sep 29 19:15:24 2015
<br><br><font color=teal>*Asteroth(Lordlol45) whispers: In anycase. . . We'll be seeing more of each other later. I'll beb ack. - Tue Sep 29 19:23:56 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) whispers: Did you get the thing? - Tue Sep 29 19:24:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) whispers: Indeed. - Tue Sep 29 19:24:48 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) whispers: You can be rest asured that next time I see you your ass wil be mine. - Tue Sep 29 19:25:39 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) hated to see her go but loved to watch her leave.* - Tue Sep 29 19:31:37 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: You lack hatred... - Tue Sep 29 19:35:53 2015
<br><br><font color=teal>*Reguel(Airide) says: No. - Thu Oct  1 00:37:32 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) was taken to the other room and yeah...your boy entered here casually looking for a good time but nope he got snakes to the limbs.....I used to be an RPr like you...but then I took snakes to the limbs* - Thu Oct  1 03:27:21 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: What were you even doing in here? - Thu Oct  1 03:28:12 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) was tossed on the bed.* - Thu Oct  1 03:28:12 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: I..was.. looking for peopel.. - Thu Oct  1 03:29:04 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) laid on the bed as he was being healed "Thanks."* - Thu Oct  1 03:32:28 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Didn't mean towalk in on you wanking him off. - Thu Oct  1 03:32:28 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) was left there "...Oi! at least give me bandages."* - Thu Oct  1 03:34:11 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: From the looks of it...You might lose an arm...and the unhealed leg... - Thu Oct  1 03:35:02 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Bye... - Thu Oct  1 03:35:02 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Are you really though? - Sat Oct  3 04:38:11 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What's that suppose to mean? - Sat Oct  3 04:38:11 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: You' - Sat Oct  3 04:39:02 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: You're being rude... - Sat Oct  3 04:39:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I think it was pretty rude what you did last night aswell. - Sat Oct  3 04:39:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: But I won't complain. - Sat Oct  3 04:39:02 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: What did I do? - Sat Oct  3 04:39:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Nothin. - Sat Oct  3 04:40:44 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Then why are you being such an ass? - Sat Oct  3 04:40:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I guess you can say, I've changed quiet a bit. - Sat Oct  3 04:41:36 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ... - Sat Oct  3 04:42:27 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm - Sat Oct  3 04:45:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ? - Sat Oct  3 04:45:00 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: I...I don't know what to say to you... - Sat Oct  3 04:46:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Odd..... - Sat Oct  3 04:46:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You don't know what to say to me. - Sat Oct  3 04:46:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: But yet, didn't you say you took advantage of me.. - Sat Oct  3 04:46:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Odd.. - Sat Oct  3 04:46:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Very odd, Misa. - Sat Oct  3 04:46:43 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Yes...we were both vulnerable emotionally...and I did something I shouldn't have done....but I said I was sorry. - Sat Oct  3 04:48:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Odd.. - Sat Oct  3 04:48:25 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) gank squad is here.* - Sat Oct  3 04:48:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Why are you doing this? - Sat Oct  3 05:01:13 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Doing what? - Sat Oct  3 05:02:04 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Pushing me away. - Sat Oct  3 05:02:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Odd... - Sat Oct  3 05:02:56 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Sat Oct  3 05:04:38 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: ...Why is everyone here. - Sat Oct  3 05:05:29 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hideki. - Sat Oct  3 05:05:29 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Sat Oct  3 05:06:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Are you doing well? - Sat Oct  3 05:06:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah. - Sat Oct  3 05:06:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Kuro wanted to ask you something. - Sat Oct  3 05:07:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .... - Sat Oct  3 05:07:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What. - Sat Oct  3 05:07:12 2015
<br><br><font color=teal>*Kuro(Ichigo10101) thinks: I did? - Sat Oct  3 05:07:12 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Mamoru...How is your jaw? - Sat Oct  3 05:07:12 2015
<br><br><font color=teal>*Kuro(Ichigo10101) thinks: I did? -repost- - Sat Oct  3 05:09:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right. - Sat Oct  3 05:10:36 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Why are you all here? - Sat Oct  3 05:10:36 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: omit - Sat Oct  3 05:11:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Why are you all here? - Sat Oct  3 05:11:28 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) whispers: Hey there lil mamma lemme whisper in your ear~ - Sat Oct  3 05:11:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: My jaw? It's getting better. - Sat Oct  3 05:12:19 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Mamoru brought me here. - Sat Oct  3 05:12:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. - Sat Oct  3 05:12:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You all have fun now. - Sat Oct  3 05:12:19 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Do you need another dose? - Sat Oct  3 05:13:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Don't worry - Sat Oct  3 05:15:44 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Probably might need one. - Sat Oct  3 05:15:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I won't let them sell you. - Sat Oct  3 05:15:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Thank you. - Sat Oct  3 05:15:44 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: The lord approves of the black market - Sat Oct  3 05:15:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sat Oct  3 05:15:44 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: Look.... - Sat Oct  3 05:16:35 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: At all of the worms in this room right now. - Sat Oct  3 05:16:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 05:17:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . - Sat Oct  3 05:17:26 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: ..... - Sat Oct  3 05:17:26 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: The lord Also approves of worms - Sat Oct  3 05:17:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 05:17:26 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I'm in a damn wheel chair. - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: With broken bones. - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Is this really happening to me. - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: I seek a couple of bodies. - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: Anatomical research and purposes. - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: You will all fit this agenda nicely. - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Will those purposes be used for evil deeds? - Sat Oct  3 05:18:17 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: The lord approves of evil deeds - Sat Oct  3 05:19:08 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: -------- - Sat Oct  3 05:19:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 05:19:08 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: ..... - Sat Oct  3 05:19:08 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: It appears..... - Sat Oct  3 05:19:08 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: The father is here. - Sat Oct  3 05:19:08 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: ? - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: .... - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ..D..Daddy? - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Oh. Him. - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Papa...? - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You lied. - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: That is not papa. - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: I'm Reign. - Sat Oct  3 05:20:00 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: It's only proper for me to give you my name after all, seeing as you're going to fall to me. You can ruminate over the meaning of my name when I sentence you to purgatory. - Sat Oct  3 05:20:51 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Will I get to see the lord? - Sat Oct  3 05:20:51 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: In my current state..I can't do much. - Sat Oct  3 05:20:51 2015
<br><br><font color=teal>*Reign(Psychic_Warrior) says: I don't think you're a pushover. I know you're a pushover. - Sat Oct  3 05:21:42 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Lord Niza. - Sat Oct  3 05:21:42 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Let me handle him.  - Sat Oct  3 05:21:42 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: That does not answer my question. - Sat Oct  3 05:21:42 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: Tch. - Sat Oct  3 05:41:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: He blocked it somehow. - Sat Oct  3 05:41:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: That blade's huge. I can't believe he can carry it around so easily. - Sat Oct  3 05:41:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: Fuck... my bones. - Sat Oct  3 05:47:18 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Almost there!! - Sat Oct  3 05:49:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Did I mention...I really hate when Kuro talks about pece shit. - Sat Oct  3 06:02:40 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: peace* - Sat Oct  3 06:02:40 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Why is Kuro so much smarter than Hideki.... - Sat Oct  3 06:03:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 06:03:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: *Sneezes* - Sat Oct  3 06:04:22 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fam - Sat Oct  3 06:06:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Sat Oct  3 06:06:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Give me time. - Sat Oct  3 06:11:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Sat Oct  3 06:11:12 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) whispers: [what do I get with my LC?] - Sat Oct  3 06:11:12 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Whatever you want Misa lol) - Sat Oct  3 06:11:12 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) stood there doing nothing but giving the people fighting moral support and good vibes.* - Sat Oct  3 06:11:12 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: If only Hideki actually taught me jutsus... - Sat Oct  3 06:12:03 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sat Oct  3 06:12:03 2015
<br><br><font color=teal>*Hideki(Assassin241) says: *Sneezes* - Sat Oct  3 06:12:03 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I thought I was useless.. - Sat Oct  3 06:15:28 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: I'm as useless as Hideki... - Sat Oct  3 06:16:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Sat Oct  3 06:17:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: *Sneezes* - Sat Oct  3 06:17:10 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Atleast I'm not being sold on the blackmarket... - Sat Oct  3 06:17:10 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: Well since we are going to die anyway might as well make the most of it. - Sat Oct  3 06:17:10 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Skunk hair lookin ass..... - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: =omit= - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We did it! - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Woo! - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ------- - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Niza did. - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Nothing. - Sat Oct  3 06:19:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I'm so glad I taught ya'll everything I know. - Sat Oct  3 06:20:35 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) High fives Amon "Great team work guys!"* - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Omit - - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's fine... - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Ok guys! - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Party in the shower - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Mamoru, Chiharu. - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Good job. - Sat Oct  3 06:20:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Orange head. - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: All of Kumogakure sat and looked instead of actually fighting... - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Fuck you. - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: LOL - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: . . . - Sat Oct  3 06:21:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: BITCH. - Sat Oct  3 06:22:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Sat Oct  3 06:22:17 2015
