<br><font color=teal>*Trilliam(VantetheGreat) says: Its law. - Sat Nov  7 01:38:33 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: Much like how Katsune was allowed freedom and openly telling the world who she killed and will... - Sat Nov  7 02:54:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: I am trying to find Katsune...I don't know why Index is allowed in the village and I don't support it....Ugh. - Sat Nov  7 02:55:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: If you know where Katsune is, let me know...I will handle it personally. - Sat Nov  7 02:55:21 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: Index was with her?... - Sat Nov  7 02:55:21 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Oh, me? - Sat Nov  7 02:56:12 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: Yes. - Sat Nov  7 02:56:12 2015
<br><br><font color=teal>*Reguel(Airide) says: Hm? - Sat Nov  7 02:56:12 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Why? - Sat Nov  7 02:57:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: So goes Tetsumi's recounting of what the summon told him..and that's our source of information. Now let me correct myself, they stated it was a male ninja...but I know it was Index. - Sat Nov  7 02:57:04 2015
<br><br><font color=teal>*Reguel(Airide) says: Looks like you made a new friend. - Sat Nov  7 02:57:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: Index...One of my prized students...It's hard to believe he'd be involved in such.. - Sat Nov  7 02:58:46 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: I'll be going for now to ...Blow steam.. - Sat Nov  7 02:59:37 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Do you have an interest in Koji? - Sat Nov  7 03:05:36 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: . . . - Sat Nov  7 03:05:36 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: I...I just met him. - Sat Nov  7 03:05:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: (waitingo n fuji) - Sat Nov  7 03:05:36 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Ah. - Sat Nov  7 03:05:36 2015
<br><br><font color=teal>*Reguel(Airide) says: Funny, Misa was like that with Hideki before she broke down trying. - Sat Nov  7 03:09:00 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Misa was crying? - Sat Nov  7 03:09:00 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Which Misa? - Sat Nov  7 03:09:52 2015
<br><br><font color=teal>*Reguel(Airide) says: Whcih one do you fucking think I'm talking about? The blonde one the one who clearly had a thing for Hideki. - Sat Nov  7 03:09:52 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I don't recall her having a thing for Hideki. - Sat Nov  7 03:10:43 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: Wha- who? - Sat Nov  7 03:10:43 2015
<br><br><font color=teal>*Reguel(Airide) says: None of your buisness. - Sat Nov  7 03:10:43 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Be nice. - Sat Nov  7 03:10:43 2015
<br><br><font color=teal>*Reguel(Airide) says: I am. - Sat Nov  7 03:10:43 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) nods,"We do need to be rational Trilliam was young, and shouldn't have been in that situation. Hassan himself is taking the matter into his own hands, and I do trust his judgement. That doesn't change the action, and won't bring back the life taken, but can we blame him wholly? He was trying to defend Sunagakure." 

Koji starts to tap his foot, and speaks at a tone only Fuji and Yan can hear. (The tapping showed the confusion he had in this delicate case as his eye normally showed no expression.* - Sat Nov  7 03:11:34 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: I understand what you are saying.....I will talk to Hassan about this as well. As for Index, I asked him if he knew where Katsune is and he said none of my business and then tried to goad me into attacking him. - Sat Nov  7 03:13:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: I don't believe him to be a trustworthy ninja. - Sat Nov  7 03:13:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: Speaking of which...We'll need to take back the blade the monk took off the private...Too much we do not know of the geavity blade to let anyone hold it.. - Sat Nov  7 03:13:16 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Well, we can't arrest him without proper evidence, but he is the boyfriend of Katsune. I doubt a lover would give up their partner. - Sat Nov  7 03:14:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: Mhm.. - Sat Nov  7 03:14:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: I won't attack him so long as he is allowed to be here. I don't think it gives off a good image though.  - Sat Nov  7 03:14:59 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: Hmm, I thought he just took the sheathe. Well yes, we'll need to get those as evidence in the case. - Sat Nov  7 03:15:50 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: I'll respect Hassan's decision on it. As for Kuro, he has no ill-will in him. I don't think we should take the blade. - Sat Nov  7 03:15:50 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: It's not my decision though. I'll follow your lead, Koji. - Sat Nov  7 03:15:50 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: It's my decision to do such..He may be a monk, but research is research mate.. - Sat Nov  7 03:17:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: I am at the will of the heiarchy, no need to flex. Whoever's decision it is, I will follow the lead. I respect boundaries. - Sat Nov  7 03:18:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: I agree with that as well, I would like our forces to be prepared for such an event if it occurs again. - Sat Nov  7 03:18:24 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: Can't you interrogate him some way? - Sat Nov  7 03:20:06 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Flex our lawfulness... - Sat Nov  7 03:20:06 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: -omiti - Sat Nov  7 03:20:06 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You'd need evidence for an interrogation. - Sat Nov  7 03:20:57 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: And it's about nothing serious. - Sat Nov  7 03:20:57 2015
<br><br><font color=teal>*Reguel(Airide) says: Besides, I have a genjutsu for that. - Sat Nov  7 03:20:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yo! Kuro mind coming over? - Sat Nov  7 03:22:40 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Alright. - Sat Nov  7 03:23:31 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Reguel give us fifty-feet. - Sat Nov  7 03:24:22 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: -omit- - Sat Nov  7 03:25:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Paine?  - Sat Nov  7 03:29:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm..I'll get to her shortly..I have a monk to speak to.. - Sat Nov  7 03:29:29 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Do you need me to handle Paine?  - Sat Nov  7 03:30:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sure, sure.. - Sat Nov  7 03:30:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm letting her in, coo'? - Sat Nov  7 03:30:20 2015
<br><br><font color=teal>*Reguel(Airide) says: No. - Sat Nov  7 03:30:20 2015
<br><br><font color=teal>*Reguel(Airide) says: Also hey Yan. - Sat Nov  7 03:31:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yo'. - Sat Nov  7 03:31:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Monk... - Sat Nov  7 03:31:12 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) would be tapping his foot still being thirteen, and having to deal with such situations was beyond him. But, to be honest this is beyond a lot of humans. Koji would begin to say, "Reguel we have a dilemma and you seem to be well verse in the practice of peace I would rather not have Ai and Trilliam kill each other. Do you have suggestions on future actions? Also, we're going to need that sword for evidence of the Gezo attack, and research we want to prepare our Sunagakure troops for such an event should it occur again. If Fuji doesn't require the sheathe I imagine he'll allow you to keep it." * - Sat Nov  7 03:31:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Also because...That sword has too many unanswered questions about its power...That man contained gravity and those blades were the source it seems.. - Sat Nov  7 03:32:54 2015
<br><br><font color=teal>*Reguel(Airide) says: Girl, get back. - Sat Nov  7 03:39:44 2015
<br><br><font color=teal>*Reguel(Airide) says: You were just listening, right Kuro? - Sat Nov  7 03:40:35 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: How are you sure it was from the Gezo? I don't recall the using Necromancers. - Sat Nov  7 03:43:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: He had a Gezo private badge... - Sat Nov  7 03:43:08 2015
<br><br><font color=teal>*Reguel(Airide) says: ... - Sat Nov  7 03:43:08 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: So does multiple other people. - Sat Nov  7 03:43:08 2015
<br><br><font color=teal>*Reguel(Airide) says: And a Gezo is? - Sat Nov  7 03:43:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Co-opperate...Give us the blade to study.. - Sat Nov  7 03:44:00 2015
<br><br><font color=teal>*Reguel(Airide) says: ...... - Sat Nov  7 03:44:51 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I don't trust you, nor do I approve of your methods. By the way, do you have the other blade? - Sat Nov  7 03:46:33 2015
<br><br><font color=teal>*Reguel(Airide) says: I trust him. - Sat Nov  7 03:46:33 2015
<br><br><font color=teal>*Reguel(Airide) thinks: I think. - Sat Nov  7 03:46:33 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I don't after what he did. - Sat Nov  7 03:46:33 2015
<br><br><font color=teal>*Reguel(Airide) says: Explain. - Sat Nov  7 03:46:33 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: He killed a man who was disarmed. - Sat Nov  7 03:47:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm...I don't care for your trust what I care for are my people...What would you of done if he did kill us all in that room hm? - Sat Nov  7 03:47:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Don't try to sugar coat it.. - Sat Nov  7 03:47:24 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: After he was already detained. - Sat Nov  7 03:47:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You KNOW what that man did.. - Sat Nov  7 03:47:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: And he asked for death.. - Sat Nov  7 03:47:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Multiple times.. - Sat Nov  7 03:47:24 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: So you think you have the right to kill people left and right? - Sat Nov  7 03:48:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You think you have the right to go against the law? - Sat Nov  7 03:48:16 2015
<br><br><font color=teal>*Reguel(Airide) says: Oh you're talking about that kid you murdered in cold blood in Kumogakure? - Sat Nov  7 03:49:07 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: What I do, I do for a strict purpose...What you did was wreckless and no.. - Sat Nov  7 03:49:07 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: *kid* - Sat Nov  7 03:49:07 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: *he was 20+* - Sat Nov  7 03:49:07 2015
<br><br><font color=teal>*Reguel(Airide) says: Fuji. - Sat Nov  7 03:49:07 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: If you haven't noticed, I'm not a shinobi from this village. And it wasn't reckless.  I was trying to give him another chance to live life as an honest person. - Sat Nov  7 03:49:58 2015
<br><br><font color=teal>*Reguel(Airide) says: I don't give a damn, he's dead. - Sat Nov  7 03:49:58 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) "We need tp protect our citizens from such threats happening again. You saw how unprepared we all were from the intruder. We would be endangering more lives if we didn't research these weapons. Kuro you have to understand... I don't want to make this an order. You wanted a keep safe so why not just keep the sheathe?" 

Koji didn't understand the logic being used not to hand over the evidence...* - Sat Nov  7 03:49:58 2015
<br><br><font color=teal>*Reguel(Airide) says: Or - Sat Nov  7 03:50:49 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You are too soft monk....He tried to KILL us all, especially the younger ones and our leader..And if you are not of this village, then you have no right to say where the blade of an enemy will go.. - Sat Nov  7 03:50:49 2015
<br><br><font color=teal>*Reguel(Airide) says: I could just stay here and train myself. - Sat Nov  7 03:50:49 2015
<br><br><font color=teal>*Reguel(Airide) says: While minding my own. - Sat Nov  7 03:50:49 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: That wasn't to you... - Sat Nov  7 03:51:40 2015
<br><br><font color=teal>*Reguel(Airide) says: I wasn't talking to you. - Sat Nov  7 03:51:40 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Fuji.. - Sat Nov  7 04:01:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? One moment.. - Sat Nov  7 04:01:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's up, Bryson? - Sat Nov  7 04:06:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tetsumi and Izutora doing well? - Sat Nov  7 04:06:11 2015
<br><br><font color=teal>*Reguel(Airide) says: ...Someone explain to me what's going on. What happened with those two? - Sat Nov  7 04:06:11 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Brother Yan, everyone is on edge lately - Sat Nov  7 04:06:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It's been odd times. Care to fill me in? - Sat Nov  7 04:07:02 2015
<br><br><font color=teal>*Reguel(Airide) says: Yeah same here. - Sat Nov  7 04:07:02 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: o-on edge? - Sat Nov  7 04:07:02 2015
<br><br><font color=teal>*Reguel(Airide) says: Yes, Paine. - Sat Nov  7 04:07:02 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Yes - Sat Nov  7 04:07:02 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: t-they were...o-on e-edge? - Sat Nov  7 04:07:53 2015
<br><br><font color=teal>*Reguel(Airide) says: Are you taking 'on edge' literally? - Sat Nov  7 04:07:53 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: a-am i n-not s-sopost t-too - Sat Nov  7 04:07:53 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: ? - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Reguel(Airide) says: No! - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: *was waiting on Kuros response really* - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Where is everyone from Kirigakure? - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: o-oh.. - Sat Nov  7 04:08:44 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) documents the reports being given. It would seems tension is rising as Kuro refuses to give up Sunagakure's evidence.* - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Reguel(Airide) says: Not here. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: They were called back and have returned. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: They went back? - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Reguel(Airide) says: Clearly. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Oh, alright. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: A new Mizukage has claimed the thrown. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I should head back then. - Sat Nov  7 04:08:44 2015
