<br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *waves at Nami* - Wed Dec  2 05:44:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea hers is probably better then mine. - Wed Dec  2 06:29:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmmm. - Wed Dec  2 06:29:58 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Yeah her and her dad leave a trail of fire. - Wed Dec  2 06:29:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You have water right Nami? - Wed Dec  2 06:30:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wow. . .  - Wed Dec  2 06:30:49 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Yeah I guess, I doubt I'll use it. - Wed Dec  2 06:30:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Trail of fire? - Wed Dec  2 06:30:49 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: And im guessing that for people who use elements when you use it your most used element alters it a litlle. - Wed Dec  2 06:30:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmm, you still want to learn the single water jutsu that I know? - Wed Dec  2 06:30:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Probably. - Wed Dec  2 06:30:49 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well I won't use it at all, but if you're sharing. - Wed Dec  2 06:30:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmmm. - Wed Dec  2 06:31:40 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Now hiro waht did you say about walking on walls. - Wed Dec  2 06:31:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't know. - Wed Dec  2 06:31:40 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Like Ive always been wanting to learn that. - Wed Dec  2 06:31:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Am I in the mood for sharing? - Wed Dec  2 06:31:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I don't know. - Wed Dec  2 06:31:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Trill, are you in the mood for sharing? - Wed Dec  2 06:31:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Well damn. . . You changed gears fast. - Wed Dec  2 06:32:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: What do you mean? - Wed Dec  2 06:32:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I was only kidding and you immediately went to Trill. - Wed Dec  2 06:32:32 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey Iza. - Wed Dec  2 06:33:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi. - Wed Dec  2 06:33:23 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, why not ask my cousin? - Wed Dec  2 06:33:23 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hm? HM!? - Wed Dec  2 06:33:23 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Iza. - Wed Dec  2 06:33:23 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Maybe you should have a little more faith in me? - Wed Dec  2 06:34:14 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I just leanrd how to do that run fast thing you guys do. - Wed Dec  2 06:34:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: The what now? - Wed Dec  2 06:34:14 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Just watch okay. - Wed Dec  2 06:34:14 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *sigh*  I don't even know why I tried that. - Wed Dec  2 06:37:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You want to learn it right? - Wed Dec  2 06:37:39 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hmm? Nah, it's okay. I've learned enough ninjutsu for a few years, haha. - Wed Dec  2 06:38:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You are so confusing sometimes Nami. *laughs* - Wed Dec  2 06:39:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I swear I can't get a read on this girl. . .  - Wed Dec  2 06:39:21 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: That's a good thing.~ - Wed Dec  2 06:39:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Well yea it is. - Wed Dec  2 06:40:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But I would like to at least understand you a little. - Wed Dec  2 06:40:12 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: 9abut iza is already the red flash lo0 - Wed Dec  2 06:40:12 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Apparently I'm bossy. - Wed Dec  2 06:41:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You don't boss me around much. - Wed Dec  2 06:41:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Who told you that you were bossy? - Wed Dec  2 06:41:04 2015
<br><br><font color=yellow>*Kinami Hassan(Ninasky115) points at Trilliam. "I choose not to boss you around."* - Wed Dec  2 06:41:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmm Trill huh. - Wed Dec  2 06:41:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Well why did you choose not to boss me around? - Wed Dec  2 06:41:55 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hiro. - Wed Dec  2 06:41:55 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: She is a Top Notch Boss. - Wed Dec  2 06:41:55 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Wed Dec  2 06:41:55 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Gramps called it being a natrual born leader. - Wed Dec  2 06:42:46 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Trill, we are cool and all. - Wed Dec  2 06:42:46 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Me not so much. - Wed Dec  2 06:42:46 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But don't call her a bitch in front of me again. - Wed Dec  2 06:42:46 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Eh/// - Wed Dec  2 06:42:46 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: What? That's what you mean Trill? - Wed Dec  2 06:42:46 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: What you talking about Hiro. - Wed Dec  2 06:42:46 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: No Kinami not at all. - Wed Dec  2 06:42:46 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Good. - Wed Dec  2 06:42:46 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I thought I was going to have to slap the Realliam out of you. - Wed Dec  2 06:43:37 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I was about to smack him my damn self. - Wed Dec  2 06:43:37 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Kinami. - Wed Dec  2 06:43:37 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: You know if realiam came here right now. - Wed Dec  2 06:44:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: It would be bad for everyone. - Wed Dec  2 06:44:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Any ways. - Wed Dec  2 06:44:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I mean, sure. - Wed Dec  2 06:44:28 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: But he'd still get slapped just like Trill would.~ - Wed Dec  2 06:44:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Just watch your mouth Trill. - Wed Dec  2 06:44:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hiro she is just a Top Notch Boss that is all You came up with that other word all on your own buddy. - Wed Dec  2 06:45:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Wed Dec  2 06:45:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Trill. - Wed Dec  2 06:45:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You are really testing my patients bro. - Wed Dec  2 06:45:20 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hiro. - Wed Dec  2 06:45:20 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Ive been to jail and then some. - Wed Dec  2 06:46:11 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Kinami is my cousin. - Wed Dec  2 06:46:11 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Ive been calling her that since I was six. - Wed Dec  2 06:46:11 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: And? - Wed Dec  2 06:46:11 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: What makes you think. - Wed Dec  2 06:46:11 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I will stop now. - Wed Dec  2 06:46:11 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: She is my lady and I am not letting that go. - Wed Dec  2 06:46:11 2015
<br><br><font color=yellow>*Kinami Hassan(Ninasky115) pats Hiroshi on the head. "I can handle him Hiro. It's okay."* - Wed Dec  2 06:47:02 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: If he disrespected me, then so did Grandpa. - Wed Dec  2 06:47:53 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: See! - Wed Dec  2 06:47:53 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hiro you the only person who said that was disrepectful. - Wed Dec  2 06:48:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I would have saide the same thing to Sir Hassan. - Wed Dec  2 06:48:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You'd be a dead sir. - Wed Dec  2 06:48:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: A very, very dead sir. - Wed Dec  2 06:48:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That is true. - Wed Dec  2 06:48:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But, still. . .  - Wed Dec  2 06:48:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: And I would've been in jail with Trill. - Wed Dec  2 06:48:44 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: With a missing arm. - Wed Dec  2 06:48:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *blinks* - Wed Dec  2 06:49:36 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: No offense Iza. - Wed Dec  2 06:49:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Wed Dec  2 06:49:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *sigh* Fine, I will calm down. - Wed Dec  2 06:49:36 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: But you know how gramps likes to cut peoples limps off. - Wed Dec  2 06:49:36 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I guess that's why I like my swords so much. - Wed Dec  2 06:49:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What sword? - Wed Dec  2 06:50:27 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I wish I could buy one already. - Wed Dec  2 06:50:27 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ohh you don't have one. - Wed Dec  2 06:50:27 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Not yet. - Wed Dec  2 06:50:27 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Trill, buy me a sword. - Wed Dec  2 06:50:27 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmmm. - Wed Dec  2 06:50:27 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea Trill. - Wed Dec  2 06:50:27 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Does it look like I have money. - Wed Dec  2 06:51:18 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Look at me. - Wed Dec  2 06:51:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: It looks like Bry threw you a mill. - Wed Dec  2 06:51:18 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hiro that million is gone. - Wed Dec  2 06:51:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Wed Dec  2 06:51:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Already. - Wed Dec  2 06:51:18 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Yup. - Wed Dec  2 06:51:18 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Maybe you should've spent it on a sword for me. - Wed Dec  2 06:51:18 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Look at you, selfish. - Wed Dec  2 06:51:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Selfish. - Wed Dec  2 06:52:09 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I paid up our rent for 6 years. - Wed Dec  2 06:52:09 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: How is that selfesih huh. - Wed Dec  2 06:52:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm. - Wed Dec  2 06:52:09 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, considering I'm leaving with sensei to train for a while. - Wed Dec  2 06:52:09 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: That doesn't effect me at all, only yourself. - Wed Dec  2 06:52:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Thats a good ass question. - Wed Dec  2 06:52:09 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Therefore, SELFISH! - Wed Dec  2 06:52:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wait. - Wed Dec  2 06:52:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You are living with Sensei? - Wed Dec  2 06:52:09 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: No. She asked you to train with her too Hiro. - Wed Dec  2 06:52:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whaaaa? - Wed Dec  2 06:53:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How did I miss this? - Wed Dec  2 06:53:00 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Don't know. - Wed Dec  2 06:53:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *gets a sheepish smile on his face*  You and Sensei in the same place?  Aww man sounds like heaven to me. - Wed Dec  2 06:53:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: heheheh. - Wed Dec  2 06:53:52 2015
<br><br><font color=yellow>*Kinami Hassan(Ninasky115) pulls her leg all of the way up to her forehead, moved it over to Hiroshi, and threw it down on top of his forehead.* - Wed Dec  2 06:53:52 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You're talking about it like you're into Sensei. - Wed Dec  2 06:55:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whaaa? - Wed Dec  2 06:55:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: No she is just a sensei. - Wed Dec  2 06:55:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I told you already. - Wed Dec  2 06:55:34 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I only have eyes for you. - Wed Dec  2 06:55:34 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: SO mushy. - Wed Dec  2 06:56:25 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey back to showing me how to walk on walls. - Wed Dec  2 06:56:25 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Like yeah.. - Wed Dec  2 06:56:25 2015
