<br><font color=teal>*Nina(Ninasky115) says: Want me to help you? - Fri Oct  9 14:35:31 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: But I need to know about your Taijustu and Ninjutsu skills. - Sat Oct 10 00:02:08 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: I'll tell you and teach you what I can for the village to rise from the ashes. . . - Sat Oct 10 00:02:59 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..I'm not too good with Ninjutsu or Taijutsu. - Sat Oct 10 00:03:50 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What he lacks in those, I pick up. But sadly, I'm not good at genjutsu at all. - Sat Oct 10 00:04:41 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You will develop those as you grow old kid. - Sat Oct 10 00:04:41 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Er.... - Sat Oct 10 00:04:41 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Yo, boss-lady. You got some jutsu you can pass on to me? - Sat Oct 10 00:05:32 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: What would you like to learn Elon? - Sat Oct 10 00:06:24 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: I need some widespread jutsu. Mine are too linear or just for runnin' really. - Sat Oct 10 00:07:15 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Like of which do you have. . . - Sat Oct 10 00:07:15 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Define Linear. - Sat Oct 10 00:07:15 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: What jutsus do you know? - Sat Oct 10 00:07:15 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Eh? I got all them fancy wave jutsu Tethys used to use and all the most basic Suiton jutsu. - Sat Oct 10 00:08:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: We are on the same boar Elon. - Sat Oct 10 00:08:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I have not learned anything new. - Sat Oct 10 00:08:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: When I learn something new I will teach it to you. - Sat Oct 10 00:09:48 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Deal? - Sat Oct 10 00:09:48 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Boar* - Sat Oct 10 00:10:40 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Boat* - Sat Oct 10 00:10:40 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Deal, I guess. - Sat Oct 10 00:10:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: When do we start? - Sat Oct 10 00:11:31 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Elon. - Sat Oct 10 00:11:31 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: What else can you do? - Sat Oct 10 00:11:31 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: I do not have anything out of Syrup Trap. . .Yet I'm expanding my knowledge. . . - Sat Oct 10 00:11:31 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Eh? I'm a sensory specialist. - Sat Oct 10 00:11:31 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: It's in my genetics. - Sat Oct 10 00:12:22 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What about wind jutsu? - Sat Oct 10 00:12:22 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: That is good to know. - Sat Oct 10 00:12:22 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: I'm so good at sensing, I could tell if someone's lyin' to ya'. - Sat Oct 10 00:12:22 2015
